X,Y,Z,Predicted_Corrosion_Rate
17.1036854,6.05171585,-0.406213075,0.0076905913
17.1094704,6.1222887,-0.447044015,0.00768879
17.111721,6.19207048,-0.406720847,0.0073049488
17.1119118,6.05141068,-0.488099694,0.00768879
17.1140709,6.12237263,-0.366455257,0.0076229395
17.1197376,6.19206619,-0.486110717,0.0071571255
17.121151,6.0516367,-0.326008558,0.007679566
17.1286869,6.19207478,-0.328869879,0.00854581
17.1300888,6.12223339,-0.525100648,0.00768879
17.1434822,6.1221776,-0.291145205,0.0076854075
17.1451588,6.05182123,-0.563334107,0.007663353
17.1519394,6.19206238,-0.559019089,0.004492118
17.1656017,6.04449701,-0.250602901,0.007641385
17.1691742,6.19207859,-0.259817898,0.0060274564
17.1738834,6.12215805,-0.592906833,0.007739297
17.2002964,6.05151844,-0.624799669,0.007761585
17.2051983,6.19205952,-0.618396521,0.0072610057
17.2206821,6.02443504,-0.199837506,0.0075416863
17.2242279,6.10880041,-0.205268189,0.0074071325
17.2263832,6.19208097,-0.208571985,0.00427794
17.2365036,6.12246895,-0.643748522,0.008017412
17.2710247,6.05156183,-0.66572088,0.0077596605
17.274086,6.19205713,-0.65826714,0.0077024857
17.2910347,6.04486465,-0.169303671,0.0076331957
17.2987766,6.19208288,-0.176080704,0.005870928
17.3118343,6.12219095,-0.672729731,0.0078035686
17.3304615,6.11923647,-0.166265413,0.0076844953
17.3519058,6.0518465,-0.682901561,0.0077363662
17.3522034,6.19205618,-0.674874783,0.007219688
17.3782463,6.19208336,-0.167542771,0.006897023
17.3787632,6.05203009,-0.159525126,0.0077101467
17.4000454,6.11905146,-0.676176488,0.007791097
17.4185276,6.12262726,-0.169659436,0.0076127388
17.4314671,6.19205666,-0.666444778,0.004900017
17.4396648,6.04479408,-0.673084915,0.00765373
17.4562149,6.19208241,-0.184038788,0.005538041
17.4590034,6.05279684,-0.176571846,0.0076987813
17.4938679,6.12254381,-0.198534697,0.0073289894
17.5042305,6.19205856,-0.633853912,0.004192102
17.5063972,6.10843277,-0.637166679,0.0076532885
17.5099716,6.02360773,-0.642632306,0.0076532885
17.5252514,6.1920805,-0.223897502,0.007051244
17.528965,6.05137062,-0.216505483,0.0077060102
17.5578308,6.12208033,-0.250738859,0.007704287
17.5615883,6.19206142,-0.582425892,0.0059900684
17.5648556,6.04508257,-0.591910541,0.0076536913
17.5789738,6.19207716,-0.283872306,0.008373713
17.5864639,6.05190182,-0.280663937,0.007696292
17.5870743,6.12262154,-0.551317215,0.0075796675
17.6006393,6.12307501,-0.317698032,0.007429972
17.6017914,6.19206524,-0.513897538,0.008296279
17.6092186,6.05250072,-0.516828358,0.0077009094
17.6109333,6.19207335,-0.356533557,0.005460782
17.6164551,6.12252331,-0.476313293,0.007324444
17.6183376,6.05211735,-0.353173852,0.007694299
17.6188736,6.19206905,-0.436049581,0.0053416435
17.621067,6.12206078,-0.394521356,0.007692655
17.6268787,6.05112076,-0.437814206,0.00768653
