X[m],Y[m],Z[m],TotalPressure[Pa],TotalSurfaceCorrosionRate[kgs^-1m^-2],TotalTemperature[K],WallShear[Pa],corrosionrate(mm/year),DENSITY,Cp,Viscosity,MolecularWeight,ThermalConductivity,case,corrosionratemm/year,CorrosionRateMmYear,radius_xyz,theta,phi,sin_theta,cos_theta,sin_phi,cos_phi,radial_distance,pressure_temp_ratio,shear_density,thermal_response,flow_resistance,mw_viscosity,log_TotalPressure[Pa],log_WallShear[Pa],log_Viscosity,actual_CR,predicted_CR,error,absolute_error,pct_error
6.74755526,5.44974422,2.48596334,-67.5706787,2.30391617e-09,378.23999,0.0632465109,,828.2307676,818.7975202,0.000626,132.9231307,0.2682119292,ICE_161_P_24.xlsx,,0.00904810615,9.022706233608687,0.6793954849977435,1.291662579869691,0.6283228547807165,0.7779526914666538,0.9612944716258545,0.2755230277518909,8.673477621472086,-0.17864498859100952,52.38270627072877,219.61126251701796,0.5184724605176001,0.08320987981820001,4.227865019161829,0.06132697360378096,0.0006258041437330862,0.00904810615,0.009036151,1.1955389051342483e-05,1.1955389051342483e-05,0.1321313969113986
6.73923969,5.44974422,2.50260687,-68.9713058,2.30391484e-09,378.23999,0.0733614713,,828.2307676,818.7975202,0.000626,132.9231307,0.2682119292,ICE_161_P_24.xlsx,,0.00904810149,9.02109221815551,0.6799983299179644,1.2896914989751616,0.6287917254073626,0.7775737688857771,0.9607495264107487,0.27741728046666797,8.667010076300517,-0.18234800026876197,60.760227687064365,219.61126251701796,0.5184724605176001,0.08320987981820001,4.248085240867503,0.07079528604148153,0.0006258041437330862,0.00904810149,0.00903769,1.0411252835502635e-05,1.0411252835502635e-05,0.11506560625849013
6.73864985,5.48358107,2.50395274,-66.5083466,2.30391728e-09,378.23999,0.161146775,,828.2307676,818.7975202,0.000626,132.9231307,0.2682119292,ICE_161_P_24.xlsx,,0.00904810987,9.041506648580249,0.6830694600478472,1.290188485671571,0.6311767865540467,0.775639003735183,0.960887280452284,0.27693976649266844,8.687868734745441,-0.17583636938611816,133.4667171545145,219.61126251701796,0.5184724605176001,0.08320987981820001,4.2122512435673745,0.1494081159138999,0.0006258041437330862,0.00904810987,0.009018708,2.9401849551314793e-05,2.9401849551314793e-05,0.32495018264035835
2.96370435,6.13374424,3.23225403,-7.77487373,2.30390595e-09,378.23999,0.0143471546,,828.2307676,818.7975202,0.000626,132.9231307,0.2682119292,ICE_161_P_24.xlsx,,0.0090480661,7.540147743273559,1.120694795343724,1.127773407351635,0.900402935029674,0.4350569555701285,0.9034599506641733,0.4286725061697912,6.812221508138304,-0.020555398517735912,11.88275486723387,219.61126251701796,0.5184724605176001,0.08320987981820001,2.1718923795048064,0.014245208115114245,0.0006258041437330862,0.0090480661,0.009509289,-0.00046122260588541027,0.00046122260588541027,5.097471666729264
2.99285555,6.13374424,3.18446803,-7.66592169,2.30390396e-09,378.23999,0.0120389694,,828.2307676,818.7975202,0.000626,132.9231307,0.2682119292,ICE_161_P_24.xlsx,,0.00904805958,7.531323879570647,1.1168489248581603,1.134230614920632,0.8987231076537275,0.4385165627079855,0.9062091237248383,0.42282978144622296,6.824954413393469,-0.0202673484889774,9.971044867274912,219.61126251701796,0.5184724605176001,0.08320987981820001,2.159398286812545,0.01196707743613925,0.0006258041437330862,0.00904805958,0.009511529,-0.00046346895667736046,0.00046346895667736046,5.122302218816042
2.94123411,6.13374424,3.18511438,-7.68776846,2.30390351e-09,378.23999,0.00884542242,,828.2307676,818.7975202,0.000626,132.9231307,0.2682119292,ICE_161_P_24.xlsx,,0.00904805679,7.511233594107127,1.123669050686149,1.1328872437601227,0.9016929210292887,0.4323770069807933,0.9056402888682379,0.4240467747532748,6.802475761923792,-0.020325107505942852,7.32605100066285,219.61126251701796,0.5184724605176001,0.08320987981820001,2.1619161122839614,0.008806530844456423,0.0006258041437330862,0.00904805679,0.009512018,-0.00046396162235160833,0.00046396162235160833,5.127748787044592
2.45910072,6.13374424,2.04294109,-7.53735399,2.30391617e-09,378.23999,0.103811309,,828.2307676,818.7975202,0.000626,132.9231307,0.2682119292,ICE_161_P_24.xlsx,,0.00904810615,6.916907043617695,1.189502719089538,1.2709695536232402,0.9281840331097327,0.3721214864532153,0.9553876668198152,0.29535471231823884,6.608327682011365,-0.01992743810563427,85.9797201386308,219.61126251701796,0.5184724605176001,0.08320987981820001,2.144451122554471,0.09876901748627086,0.0006258041437330862,0.00904810615,0.009452387,-0.00040428060922155333,0.00040428060922155333,4.468124074526602
2.50105286,6.13374424,2.0368073,-7.64479828,2.30391528e-09,378.23999,0.0806654841,,828.2307676,818.7975202,0.000626,132.9231307,0.2682119292,ICE_161_P_24.xlsx,,0.00904810335,6.9301275448277755,1.1836242141529902,1.2724853733976527,0.9259804902153148,0.3775713597991845,0.9558342735602728,0.29390617803561997,6.624053427490403,-0.020211501908610683,66.8096358149686,219.61126251701796,0.5184724605176001,0.08320987981820001,2.1569577851441055,0.07757704035113003,0.0006258041437330862,0.00904810335,0.009465492,-0.0004173889804915433,0.0004173889804915433,4.612999700599278
2.46776032,6.13374424,1.99689651,-7.4698143,2.30391617e-09,378.23999,0.123191461,,828.2307676,818.7975202,0.000626,132.9231307,0.2682119292,ICE_161_P_24.xlsx,,0.00904810615,6.90653712582144,1.1882870134886678,1.2774770031820215,0.9277309571457611,0.3732496097163531,0.9572894303655445,0.28913136549051793,6.6115549909760025,-0.019748875045715056,102.03095830579547,219.61126251701796,0.5184724605176001,0.08320987981820001,2.136508583984422,0.11617415187447146,0.0006258041437330862,0.00904810615,0.009447413,-0.00039930641535053206,0.00039930641535053206,4.413149101996339
2.47397089,6.13374424,2.09794807,-7.36963034,2.3039155e-09,378.23999,0.0942105576,,828.2307676,818.7975202,0.000626,132.9231307,0.2682119292,ICE_161_P_24.xlsx,,0.00904810429,6.9386408230083,1.187415854257163,1.2636316834712342,0.9274054453077017,0.37405766936880647,0.9531946907482413,0.30235720849578673,6.613875593500423,-0.019484006278144096,78.02808243707202,219.61126251701796,0.5184724605176001,0.08320987981820001,2.124609718651535,0.09003315129414928,0.0006258041437330862,0.00904810429,0.009464005,-0.00041590071833988267,0.00041590071833988267,4.596550890262972
