X [ m ],Y [ m ],Z [ m ],Corrosion Rate Mm Year,Total Pressure [ Pa ],Total Surface Corrosion Rate [ kg s^-1 m^-2 ],Total Temperature [ K ],Wall Shear [ Pa ],DENSITY,API,Sulphur,VR%,Cp,Viscosity,Molecular Weight,Thermal Conductivity,case,api_sulphur_ratio,flow_resistance,log_Viscosity,actual_CR,predicted_CR,error,absolute_error,pct_error
-7.90922022,-0.0597442761,0.276595891,0.0014695375,25.371397,3.62777097e-09,371.510254,0.406639427,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.0014695375,0.0016631952,-0.00019365770212709894,0.00019365770212709894,13.178139516366036
-7.91003227,-0.0599711575,0.220743418,0.0014695375,26.0864773,3.62777075e-09,371.510345,0.420754462,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.0014695375,0.0016631952,-0.00019365770212709894,0.00019365770212709894,13.178139516366036
-7.94896603,-0.0926619172,0.247551605,0.00146953738,27.1045227,3.62777075e-09,371.510651,0.440474004,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00146953738,0.0016639319,-0.00019439449828361995,0.00019439449828361995,13.228278558748684
-7.76778746,-0.382262886,-0.0356884375,0.00146953668,48.9415321,3.62776897e-09,371.5159,0.597970009,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00146953668,0.0016639319,-0.00019439519828361998,0.00019439519828361998,13.228332493976039
-7.82601643,-0.390155166,-0.016063571,0.00146953668,45.2886772,3.62776875e-09,371.514862,0.549106181,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00146953668,0.0016639319,-0.00019439519828361998,0.00019439519828361998,13.228332493976039
-7.80392647,-0.38961947,-0.0700479001,0.00146953668,47.2883911,3.62776897e-09,371.514801,0.554547608,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00146953668,0.0016639319,-0.00019439519828361998,0.00019439519828361998,13.228332493976039
-7.91432047,-0.361085951,0.161137074,0.0014695368,39.256588,3.62776986e-09,371.513092,0.528241158,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.0014695368,0.0016639319,-0.0001943950782836198,0.0001943950782836198,13.228323247933401
-7.95743132,-0.321586221,0.174246952,0.0014695368,36.9016228,3.62776986e-09,371.512665,0.553027928,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.0014695368,0.0016639319,-0.0001943950782836198,0.0001943950782836198,13.228323247933401
-7.94666004,-0.335095435,0.119878538,0.0014695368,37.8272743,3.62776942e-09,371.512726,0.56916374,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.0014695368,0.0016639319,-0.0001943950782836198,0.0001943950782836198,13.228323247933401
-7.72719526,-0.363900512,-0.00396771682,0.00146953668,48.289547,3.62776897e-09,371.516083,0.60418123,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00146953668,0.0016639319,-0.00019439519828361998,0.00019439519828361998,13.228332493976039
-7.72800493,-0.364126772,-0.0596671291,0.00146953668,50.3834763,3.62776875e-09,371.516083,0.581030607,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00146953668,0.0016639319,-0.00019439519828361998,0.00019439519828361998,13.228332493976039
-7.85875368,-0.386462003,-0.070934236,0.00146953668,48.1345787,3.62776897e-09,371.515656,0.58919096,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00146953668,0.0016639319,-0.00019439519828361998,0.00019439519828361998,13.228332493976039
-7.9071579,-0.366857678,0.0496490151,0.0014695368,41.10355,3.62776942e-09,371.51358,0.507785261,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.0014695368,0.0016639319,-0.0001943950782836198,0.0001943950782836198,13.228323247933401
-7.90914106,-0.365000516,0.106469825,0.0014695368,41.1181412,3.62776986e-09,371.513428,0.516611457,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.0014695368,0.0016639319,-0.0001943950782836198,0.0001943950782836198,13.228323247933401
-7.93213463,-0.34936142,0.0731962696,0.0014695368,39.9993057,3.62776942e-09,371.513245,0.520409465,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.0014695368,0.0016639319,-0.0001943950782836198,0.0001943950782836198,13.228323247933401
-7.75848866,-0.379016727,-0.0803548172,0.00146953668,51.6245308,3.62776897e-09,371.516174,0.605027318,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00146953668,0.0016639319,-0.00019439519828361998,0.00019439519828361998,13.228332493976039
-7.77623415,-0.384689867,-0.118119977,0.00146953668,46.1520844,3.62776897e-09,371.514923,0.576607049,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00146953668,0.0016639319,-0.00019439519828361998,0.00019439519828361998,13.228332493976039
-7.886446,-0.377604544,-0.0229451563,0.00146953668,43.894104,3.62776897e-09,371.514648,0.572994947,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00146953668,0.0016639319,-0.00019439519828361998,0.00019439519828361998,13.228332493976039
-7.8604722,-0.385364741,0.025851896,0.00146953668,42.8714676,3.62776942e-09,371.514069,0.521274149,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00146953668,0.0016639319,-0.00019439519828361998,0.00019439519828361998,13.228332493976039
-7.81720352,-0.38973251,0.108166903,0.00146953668,39.990406,3.62776897e-09,371.513153,0.54518503,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00146953668,0.0016639319,-0.00019439519828361998,0.00019439519828361998,13.228332493976039
-7.7699275,-0.382937521,0.0797923431,0.00146953668,43.2633781,3.62776897e-09,371.514252,0.540590584,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00146953668,0.0016639319,-0.00019439519828361998,0.00019439519828361998,13.228332493976039
-7.76919365,-0.382732987,0.135525674,0.0014695368,43.5270729,3.62776942e-09,371.514618,0.556950569,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.0014695368,0.0016639319,-0.0001943950782836198,0.0001943950782836198,13.228323247933401
-7.72881699,-0.364353776,-0.115548387,0.00146953668,48.4397545,3.62776897e-09,371.515411,0.565694213,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00146953668,0.0016639319,-0.00019439519828361998,0.00019439519828361998,13.228332493976039
-7.77068472,-0.383148611,0.0240845438,0.00146953668,44.0752869,3.62776897e-09,371.514557,0.595023274,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00146953668,0.0016639319,-0.00019439519828361998,0.00019439519828361998,13.228332493976039
-7.81688356,-0.389945626,0.0525958389,0.00146953668,41.0549126,3.62776897e-09,371.513397,0.538884342,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00146953668,0.0016639319,-0.00019439519828361998,0.00019439519828361998,13.228332493976039
-7.93979502,-0.0813005343,0.0527757704,0.00146953715,26.7720966,3.62777008e-09,371.510223,0.417233706,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00146953715,0.0016631952,-0.00019365805212709906,0.00019365805212709906,13.178166472029467
-7.95584011,-0.0975790098,0.0117950551,0.00146953715,25.8203831,3.62777008e-09,371.509827,0.422946751,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00146953715,0.0016631952,-0.00019365805212709906,0.00019365805212709906,13.178166472029467
-7.97285461,-0.122256227,0.0505603515,0.00146953715,28.3137569,3.62777008e-09,371.51059,0.445357502,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00146953715,0.0016639319,-0.0001943947282836199,0.0001943947282836199,13.228296280317714
-7.76847744,-0.382533491,0.191292629,0.0014695368,45.1626282,3.62776942e-09,371.515289,0.54537195,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.0014695368,0.0016639319,-0.0001943950782836198,0.0001943950782836198,13.228323247933401
-7.81739902,-0.389511138,0.163940966,0.0014695368,39.1890526,3.62776942e-09,371.513062,0.541756988,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.0014695368,0.0016639319,-0.0001943950782836198,0.0001943950782836198,13.228323247933401
-7.76774216,-0.38232854,0.247092828,0.0014695368,43.1420784,3.62776942e-09,371.514862,0.543819666,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.0014695368,0.0016639319,-0.0001943950782836198,0.0001943950782836198,13.228323247933401
-7.76686668,-0.382083416,0.30289343,0.00146953703,42.2257805,3.62776986e-09,371.514496,0.567768872,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00146953703,0.0016639319,-0.00019439484828361986,0.00019439484828361986,13.22830552635593
-7.81517267,-0.389055192,0.275585711,0.0014695368,39.6468506,3.62776986e-09,371.513458,0.546718597,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.0014695368,0.0016639319,-0.0001943950782836198,0.0001943950782836198,13.228323247933401
-7.97884083,-0.132246435,0.00649776636,0.00146953715,26.0785828,3.62777008e-09,371.509918,0.424807608,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00146953715,0.0016631952,-0.00019365805212709906,0.00019365805212709906,13.178166472029467
-7.81469679,-0.38926965,0.219829276,0.0014695368,40.096981,3.62776942e-09,371.513641,0.516376674,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.0014695368,0.0016639319,-0.0001943950782836198,0.0001943950782836198,13.228323247933401
-7.98670578,-0.266734034,0.176124781,0.0014695368,37.1647797,3.62776986e-09,371.513062,0.554792881,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.0014695368,0.0016639319,-0.0001943950782836198,0.0001943950782836198,13.228323247933401
-7.96784878,-0.305385232,0.228504241,0.0014695368,37.0857849,3.62776986e-09,371.513153,0.522535264,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.0014695368,0.0016639319,-0.0001943950782836198,0.0001943950782836198,13.228323247933401
-3.26052189,4.13686419,11.5000439,0.00169217156,-203.71051,4.17737578e-09,371.774902,0.745270252,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00169217156,0.0016643474,2.7824195432779846e-05,2.7824195432779846e-05,1.644289271493072
-3.31278634,4.1672411,11.4780254,0.00170553476,-204.739487,4.21036539e-09,371.787628,0.670357645,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00170553476,0.0016643474,4.1187395432779874e-05,4.1187395432779874e-05,2.4149255925238733
-3.28730249,4.11869621,11.4449167,0.00169161847,-198.795654,4.17601109e-09,371.770599,0.68747884,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00169161847,0.0016643474,2.7271105432779847e-05,2.7271105432779847e-05,1.6121309799046197
-7.8548317,-0.0375130102,0.587993681,0.00146953785,20.2192574,3.6277723e-09,371.509064,0.385633498,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00146953785,0.0016618103,-0.00019227247545864582,0.00019227247545864582,13.08387363604191
-7.905159,-0.0586093552,0.555985272,0.00146953773,25.5632114,3.62777186e-09,371.510742,0.416674227,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00146953773,0.0016631952,-0.000193657472127099,0.000193657472127099,13.178121802651352
-7.90434694,-0.058382418,0.611851931,0.00146953773,25.4246902,3.62777186e-09,371.510712,0.419911534,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00146953773,0.0016631952,-0.000193657472127099,0.000193657472127099,13.178121802651352
-3.3328495,4.15386152,11.4187689,0.00170507061,-200.71022,4.20921964e-09,371.784424,0.624701977,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00170507061,0.0016643474,4.072324543277989e-05,4.072324543277989e-05,2.388361230910917
-3.35064554,4.20863485,11.4471054,0.00172125548,-209.191818,4.24917435e-09,371.80127,0.573376536,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00172125548,0.0016643474,5.69081154327797e-05,5.69081154327797e-05,3.3061980665251225
-7.76518488,-0.381605268,0.358561486,0.00146953703,41.1503868,3.62776986e-09,371.514282,0.542915046,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00146953703,0.0016639319,-0.00019439484828361986,0.00019439484828361986,13.22830552635593
-7.76859426,-0.382554352,0.410605192,0.00146953703,41.5747414,3.62776986e-09,371.514374,0.554893613,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00146953703,0.0016639319,-0.00019439484828361986,0.00019439484828361986,13.22830552635593
-7.80474281,-0.38833487,0.386605203,0.00146953703,41.4910126,3.62776964e-09,371.51416,0.541641474,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00146953703,0.0016639319,-0.00019439484828361986,0.00019439484828361986,13.22830552635593
-3.31447887,4.39717197,11.302742,0.00174231827,-213.880539,4.30117097e-09,371.81604,0.354587674,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00174231827,0.0016659136,7.640465369292029e-05,7.640465369292029e-05,4.385229436242323
-3.33660984,4.34491634,11.272893,0.00173468946,-213.302002,4.2823376e-09,371.810059,0.377343714,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00173468946,0.0016662517,6.843777359833488e-05,6.843777359833488e-05,3.9452464050183607
-3.35141921,4.35673666,11.3343582,0.00174883066,-212.288345,4.31724789e-09,371.825348,0.384845585,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.00174883066,0.0016663981,8.243252312347652e-05,8.243252312347652e-05,4.713579476948369
-7.81813908,-0.388778508,0.338746548,0.0014695368,39.2135239,3.62776986e-09,371.513245,0.523454368,835.927183,36.57,1.23845,12.850000000000001,817.4532392,0.000664,142.2744463,0.2655380825,I126to113P_20.2.xlsx,29.318156365713946,0.555055649512,0.0006637796495364098,0.0014695368,0.0016639319,-0.0001943950782836198,0.0001943950782836198,13.228323247933401
