filename,sharpness,contrast,brightness,noise,entropy,clipping,dynamic_range,edge_density,saturation,technical_score
1_OD_1.tif,5.321159861935947,21.26634449814464,75.00655737584452,0.48079609870910645,6.1840646626679385,0.0,85.0,0.30933236529951486,154.3318674430533,61.70899361360417
1_OD_1_green.tif,9.693810072894701,22.074473464521223,66.4181402475924,0.6948462128639221,6.188615449772911,0.0,88.0,0.19060522016975126,0.0,62.071219066261826
1_OD_2_green.tif,10.365419773180829,12.692596885931996,96.11813192783578,0.695992648601532,5.5695439232074175,0.0,58.0,0.14560587403489605,0.0,59.67322701110892
1_OS_1.tif,6.8261205075173255,11.328756634197736,103.59240302219567,0.5313236117362976,5.3254791791035165,0.0,55.0,0.25297758069867127,166.2907447280399,58.53155573871942
1_OS_1_green.tif,11.289764662361705,11.07766141580733,91.42077448961132,0.7322856187820435,5.31873559889698,0.0,50.0,0.23561340027821537,0.0,57.58426781082282
1_OS_2.tif,5.669071520262195,14.408950829607008,88.0857774548665,0.4897964298725128,5.75443700995361,0.0,59.0,0.27027673291457055,137.3135993672574,58.80739134212512
1_OS_2_green.tif,9.826205261023164,14.77311564832698,80.04283840174173,0.6922151446342468,5.814486006398134,0.0,58.0,0.17896925754017717,0.0,59.017073368042
2_OD_1.tif,6.035991813777038,12.790477442203494,99.96615984756329,0.5028600692749023,5.411605148937424,0.0,71.0,0.19840230632076775,182.68305867824745,59.36266452272113
2_OD_1_green.tif,10.536064668568978,11.055877275296954,83.69570650386532,0.7137573957443237,5.13479454196781,0.0,62.0,0.16786402056794608,0.0,56.51129753886315
2_OD_2.tif,7.361425793786208,13.050781094359362,118.7813348026622,0.5451884269714355,5.539965118922572,0.0,65.0,0.1895301466894737,148.48919283539902,58.86344248781838
2_OD_2_green.tif,11.400154511053168,12.014866756193408,106.26650875999069,0.7262609004974365,5.409055246289306,0.0,60.0,0.17466216514799332,0.0,60.140322788114325
2_OS_1.tif,6.1822781839610474,11.043424794260861,101.55804690516698,0.5075238943099976,5.049491579498726,0.0,69.0,0.23190364197146124,187.64155545089733,57.81723697437256
2_OS_1_green.tif,10.796541754300558,10.036337718370818,85.76677807966182,0.7202463746070862,4.756557247579286,0.0,62.0,0.14344499772820501,0.0,55.26858101744695
2_OS_2.tif,7.312100085662999,11.071160717656138,118.57757934942795,0.5428462028503418,5.240456455147573,0.0,62.0,0.22216291652321488,147.98585780246336,57.19362339886197
2_OS_2_green.tif,11.269365765756678,10.675873497229446,105.58083632040218,0.7202093005180359,5.113849463097798,0.0,59.0,0.16459696925204972,0.0,58.80799844929801
