X,Y,Z,Matched_Distance,Predicted_Corrosion_Rate
11.7111148834,-2.5639698505,-0.4313447475,0.0000001780,0.0027966646
11.8203630447,-2.5804672241,-0.3181011379,0.0000003072,0.0023839576
11.9599924088,-2.5885052681,-0.2442139089,0.0000003915,0.0026923830
12.1162319183,-2.5908806324,-0.2175707221,0.0000004354,0.0027509823
12.2729444504,-2.5887916088,-0.2411610335,0.0000004265,0.0023688476
12.4139528275,-2.5811777115,-0.3122844994,0.0000000684,0.0024885050
12.5253944397,-2.5653007030,-0.4233583510,0.0000004398,0.0025564525
