x-coordinate,y-coordinate,z-coordinate
7.43409478,0.01639068885,-2.599948335
1.81553346e-14,-0.01656209773,-2.599947249
15.08,-0.03748115984,-2.599729825
12.22640291,-0.09731423914,-2.598178196
3.032981927,0.1128609097,-2.597549309
2.456374275,0.1403368389,-2.596209847
14.25480273,0.143976238,-2.596010563
13.73978183,0.1488741218,-2.595734288
13.22748551,0.1522234421,-2.595540025
1.883351258,0.1630864039,-2.594880118
1.355379844,0.1671684221,-2.594620342
11.5580978,0.1699242243,-2.594441319
0.853867774,0.1700546653,-2.594432772
12.73149545,0.1727076968,-2.594257514
11.11163375,-0.1750815312,-2.59409839
6.587425625,0.1913557299,-2.592948705
10.42722994,0.1957621726,-2.592619751
0.3686261108,0.1962118393,-2.592585758
8.292738413,-0.2258658879,-2.590170767
3.602826601,-0.2299682566,-2.589809762
5.759301375,0.2475754458,-2.588185928
14.70485386,0.2512272585,-2.58783401
12.87370299,-0.2609849132,-2.58686816
0.5059132829,-0.2877707551,-2.58402554
13.45340796,-0.2903557741,-2.58373635
13.9993859,-0.290708336,-2.583696705
1.101875897,-0.301829777,-2.582421109
9.159892315,-0.3068616364,-2.581828022
4.936641906,0.3122624714,-2.581180379
9.526372903,0.3185847961,-2.580407667
14.61179877,-0.333427212,-2.57853181
2.216943302,-0.3371811606,-2.578043612
1.615416332,-0.337187584,-2.578042772
4.418217406,-0.3511546847,-2.576177476
2.877649534,-0.3688400691,-2.573704918
8.659454268,0.3721614624,-2.573226738
9.950242145,-0.3785245917,-2.572298415
4.115395147,0.3907984426,-2.570462328
11.63404333,-0.4370414793,-2.563005023
5.198461518,-0.4460285729,-2.561456326
7.962274427,0.4477207601,-2.561161088
11.01510926,0.4532388248,-2.560190338
3.370735091,0.4625400412,-2.558526277
-0.4335199716,0.1762568236,-2.557536699
15.08,0.4891105063,-2.553580019
1.7816180780000003e-14,0.5004675778,-2.551378491
11.98011048,0.509037852,-2.549682424
2.695535891,0.5196286774,-2.5475451
6.045688745,-0.5211274984,-2.547238923
15.56116813,0.2230696109,-2.54533243
12.46016417,0.5323238579,-2.544922653
10.62038393,-0.538392042,-2.54364581
2.06959078,0.5597135721,-2.53903933
0.5993232996,0.5646159308,-2.537953674
13.01605289,0.567950724,-2.537209486
-0.4676808632,-0.3229825081,-2.537115864
1.556584658,0.5735727943,-2.535944449
1.078117138,0.5806861741,-2.534325071
13.51762349,0.5814542593,-2.534148959
1.7695418110000003e-14,-0.5817347271,-2.53408459
13.9859854,0.5881284728,-2.532608319
14.41218667,0.5907406755,-2.532000287
12.53736035,-0.5944909085,-2.531122391
6.857582366,-0.5974541747,-2.530424571
