X,Y,Z,Matched_Distance,Predicted_Corrosion_Rate
13.7188129425,0.9567999840,-0.6272721887,0.0000000799,0.0000092539
13.7404565811,0.9567999840,-0.4717185497,0.0000003693,0.0000100154
13.7465019226,0.9567999840,-0.7818982005,0.0000002836,0.0000100154
13.8092584610,0.9567999840,-0.3305929601,0.0000001500,0.0000100154
13.8207979202,0.9567999840,-0.9202995300,0.0000002325,0.0000100154
13.9184808731,0.9567999840,-0.2177250832,0.0000003473,0.0000100154
13.9343624115,0.9567999840,-1.0288153887,0.0000000808,0.0000092539
14.0573358536,0.9567999840,-0.1443076432,0.0000003640,0.0000100154
14.0759792328,0.9567999840,-1.0967396498,0.0000000305,0.0000016480
14.2121915817,0.9567999840,-0.1175896600,0.0000002622,0.0000100154
14.2187185287,0.9567999840,-1.1175470352,0.0000000921,0.0000100154
14.3676958084,0.9567999840,-0.1402570009,0.0000001593,0.0000100154
14.3737268448,0.9567999840,-1.0929125547,0.0000000418,0.0000016480
14.5084333420,0.9567999840,-0.2100361437,0.0000002187,0.0000016480
14.5135526657,0.9567999840,-1.0213695765,0.0000003399,0.0000016480
14.6205778122,0.9567999840,-0.3200429976,0.0000004583,0.0000016480
14.6242694855,0.9567999840,-0.9099988937,0.0000003349,0.0000092539
14.6930437088,0.9567999840,-0.4593849182,0.0000002916,0.0000016480
14.6949768066,0.9567999840,-0.7697902918,0.0000000412,0.0000016480
14.7187089920,0.9567999840,-0.6144124269,0.0000003832,0.0000100154
