X,Y,Z,Matched_Distance,Predicted_Corrosion_Rate
11.7111148834,-2.5639698505,-0.4313447475,0.000000178,0.00356533
11.8203630447,-2.5804672241,-0.3181011379,0.0000003072,0.0035605186
11.9599924088,-2.5885052681,-0.2442139089,0.0000003915,0.004097902
12.1162319183,-2.5908806324,-0.2175707221,0.0000004354,0.004097902
12.2729444504,-2.5887916088,-0.2411610335,0.0000004265,0.004093091
12.4139528275,-2.5811777115,-0.3122844994,0.0000000684,0.004097902
12.5253944397,-2.565300703,-0.423358351,0.0000004398,0.004097902
