X,Y,Z,Matched_Distance,Predicted_Corrosion_Rate
0.1151642799,0.9567999840,-0.6274034381,0.0000000168,0.0000000000
0.1367341429,0.9567999840,-0.4719532132,0.0000000170,0.0000000000
0.1428449005,0.9567999840,-0.7818826437,0.0000000329,0.0000000000
0.2055191398,0.9567999840,-0.3307187855,0.0000000215,0.0000000000
0.2171539217,0.9567999840,-0.9203094840,0.0000000163,0.0000000000
0.3147139251,0.9567999840,-0.2178121805,0.0000000200,0.0000000000
0.3307516873,0.9567999840,-1.0288434029,0.0000000535,0.0000000000
0.4535430074,0.9567999840,-0.1443558037,0.0000000178,0.0000000000
0.4723804295,0.9567999840,-1.0967552662,0.0000000193,0.0000000000
0.6082804203,0.9567999840,-0.1175931171,0.0000000252,0.0000000000
0.6150671244,0.9567999840,-1.1175470352,0.0000000250,0.0000000000
0.7636510730,0.9567999840,-0.1401344389,0.0000000164,0.0000000000
0.7701463103,0.9567999840,-1.0928895473,0.0000000446,0.0000000000
0.9044067264,0.9567999840,-0.2097694427,0.0000000232,0.0000000000
0.9099891186,0.9567999840,-1.0213056803,0.0000000245,0.0000000000
1.0167366266,0.9567999840,-0.3197861314,0.0000000466,0.0000000000
1.0207873583,0.9567999840,-0.9097645283,0.0000000638,0.0000000000
1.0893214941,0.9567999840,-0.4591715038,0.0000000315,0.0000000000
1.0914559364,0.9567999840,-0.7693813443,0.0000000516,0.0000000000
1.1150553226,0.9567999840,-0.6141114235,0.0000000194,0.0000000000
