X[m],Y[m],Z[m],CorrosionRateMmYear,TotalPressure[Pa],TotalSurfaceCorrosionRate[kgs^-1m^-2],TotalTemperature[K],WallShear[Pa],DENSITY,API,Sulphur,VR%,Cp,Viscosity,MolecularWeight,ThermalConductivity,case,radius_xyz,theta,phi,sin_theta,cos_theta,sin_phi,cos_phi,radial_distance,pressure_temp_ratio,shear_density,api_sulphur_ratio,thermal_response,flow_resistance,mw_viscosity,log_TotalPressure[Pa],log_WallShear[Pa],log_Viscosity,actual_CR,predicted_CR,error,absolute_error,pct_error
-0.448150218,-22.2239895,2.73619533,0.0205140207,392.7736555024783,5.12200016e-09,379.5001427305002,0.0177715215831995,857.3406964,33.55,1.7796,17.0,813.8400774,0.000768,168.7380682,0.2585021431,161_to_112P14.2.xlsx,22.39627899446507,-1.5909587503109648,1.448318472941476,-0.9997967452247698,-0.020161057461270428,0.9925089590015965,0.12217187197373687,22.22850755030584,1.0349763050578202,15.23624869022789,18.85255102914952,210.3794041485699,0.6584376548352,0.1295908363776,5.975776265801875,0.01761545441485679,0.0007677052389080244,0.0205140207,0.025382608,-0.00486858747527771,0.00486858747527771,23.732975345200764
-0.357773483,-22.0447483,2.72564173,0.0205140226,392.7736555024783,5.1220006e-09,379.5001427305002,0.0177738294005394,857.3406964,33.55,1.7796,17.0,813.8400774,0.000768,168.7380682,0.2585021431,161_to_112P14.2.xlsx,22.21549126883779,-1.5870243222924698,1.4477953694915446,-0.9998683289707102,-0.01622728323903064,0.9924449146831044,0.12269104009521505,22.047651336944956,1.0349763050578202,15.238227275953244,18.85255102914952,210.3794041485699,0.6584376548352,0.1295908363776,5.975776265801875,0.017617721932344215,0.0007677052389080244,0.0205140226,0.025382608,-0.004868585575277709,0.004868585575277709,23.732963885105494
-0.530650735,-22.0456905,2.725389,0.0205140244,392.7736555024783,5.1220006e-09,379.5001427305002,0.01802083291113377,857.3406964,33.55,1.7796,17.0,813.8400774,0.000768,168.7380682,0.2585021431,161_to_112P14.2.xlsx,22.219851597741766,-1.5948621770453304,1.447831089712357,-0.9997104314019366,-0.024063527300748594,0.9924492966010001,0.12265558966545317,22.05207608875741,1.0349763050578202,15.449993437739465,18.85255102914952,210.3794041485699,0.6584376548352,0.1295908363776,5.975776265801875,0.017860382468182286,0.0007677052389080244,0.0205140244,0.025382608,-0.004868583775277709,0.004868583775277709,23.732953028175103
-0.310253382,-22.4918537,2.72657275,0.0205140207,392.7736555024783,5.12200016e-09,379.5001427305002,0.01775401830673218,857.3406964,33.55,1.7796,17.0,813.8400774,0.000768,168.7380682,0.2585021431,161_to_112P14.2.xlsx,22.658639389519593,-1.5845894854436386,1.4501714273914739,-0.9999048758953828,-0.013792721292013001,0.9927336339263031,0.12033258939903574,22.493993420983436,1.0349763050578202,15.221242418992116,18.85255102914952,210.3794041485699,0.6584376548352,0.1295908363776,5.975776265801875,0.017598256618882493,0.0007677052389080244,0.0205140207,0.025382608,-0.00486858747527771,0.00486858747527771,23.732975345200764
-0.476649076,-22.4602757,2.7403791,0.0205140207,392.7736555024783,5.12199971e-09,379.5001427305002,0.01775401830673218,857.3406964,33.55,1.7796,17.0,813.8400774,0.000768,168.7380682,0.2585021431,161_to_112P14.2.xlsx,22.631854905715947,-1.5920150128829278,1.4494134323595211,-0.9997748921264483,-0.021217093899701032,0.9926421372393391,0.12108504192061438,22.465332823300486,1.0349763050578202,15.221242418992116,18.85255102914952,210.3794041485699,0.6584376548352,0.1295908363776,5.975776265801875,0.017598256618882493,0.0007677052389080244,0.0205140207,0.025382608,-0.00486858747527771,0.00486858747527771,23.732975345200764
-0.41967079,-22.6497421,2.74530387,0.0205140207,392.7736555024783,5.12200016e-09,379.5001427305002,0.01765955798327923,857.3406964,33.55,1.7796,17.0,813.8400774,0.000768,168.7380682,0.2585021431,161_to_112P14.2.xlsx,22.819369713187275,-1.5893229295179159,1.450198353629959,-0.9998283874044769,-0.01852554291143392,0.9927368736704253,0.12030585877283777,22.653629748199112,1.0349763050578202,15.140257739500795,18.85255102914952,210.3794041485699,0.6584376548352,0.1295908363776,5.975776265801875,0.01750543978340384,0.0007677052389080244,0.0205140207,0.025382608,-0.00486858747527771,0.00486858747527771,23.732975345200764
-0.875279129,-23.5711269,2.55371881,0.02051403,392.7736555024783,5.12200327e-09,379.5001427305002,0.01462034974247217,857.3406964,33.55,1.7796,17.0,813.8400774,0.000768,168.7380682,0.2585021431,161_to_112P14.2.xlsx,23.72521057124919,-1.6079128023057845,1.4629500408504645,-0.9993112626971938,-0.037107953952489635,0.9941902236194726,0.10763735067095899,23.587372403249297,1.0349763050578202,12.53462082982265,18.85255102914952,210.3794041485699,0.6584376548352,0.1295908363776,5.975776265801875,0.014514502860878747,0.0007677052389080244,0.02051403,0.025382608,-0.004868578175277711,0.004868578175277711,23.732919251070523
-0.918571174,-23.4271965,2.48826623,0.02051403,392.7736555024783,5.12200238e-09,379.5001427305002,0.01841171644628048,857.3406964,33.55,1.7796,17.0,813.8400774,0.000768,168.7380682,0.2585021431,161_to_112P14.2.xlsx,23.57686954798441,-1.6099858590417466,1.4650609688925464,-0.9992321885569947,-0.03917950167624157,0.9944152230890888,0.10553844839051658,23.44519799130125,1.0349763050578202,15.78511379997344,18.85255102914952,210.3794041485699,0.6584376548352,0.1295908363776,5.975776265801875,0.018244272953600513,0.0007677052389080244,0.02051403,0.025492106,-0.004978075633020402,0.004978075633020402,24.26668788520703
-0.965225041,-23.575182,2.38903856,0.0205140337,392.7736555024783,5.12200371e-09,379.5001427305002,0.01499593816697598,857.3406964,33.55,1.7796,17.0,813.8400774,0.000768,168.7380682,0.2585021431,161_to_112P14.2.xlsx,23.715572330307875,-1.6117158943741168,1.4698880400890202,-0.999162911306888,-0.04090814917279823,0.994913077493753,0.10073712439765886,23.594933051672292,1.0349763050578202,12.856628071246526,18.85255102914952,210.3794041485699,0.6584376548352,0.1295908363776,5.975776265801875,0.014884610679808414,0.0007677052389080244,0.0205140337,0.025382608,-0.00486857447527771,0.00486857447527771,23.7328969340651
-0.81384021,-23.1167355,2.61144114,0.0205140281,392.7736555024783,5.12200193e-09,379.5001427305002,0.01831397227942944,857.3406964,33.55,1.7796,17.0,813.8400774,0.000768,168.7380682,0.2585021431,161_to_112P14.2.xlsx,23.278002940373938,-1.6059874646020347,1.4583747371417104,-0.9993808558103914,-0.03518387471114632,0.9936873458932739,0.11218493041215918,23.13105695951599,1.0349763050578202,15.70131374789633,18.85255102914952,210.3794041485699,0.6584376548352,0.1295908363776,5.975776265801875,0.018148291283150594,0.0007677052389080244,0.0205140281,0.025492106,-0.0049780775330203995,0.0049780775330203995,24.26669939473142
