X,Y,Z,Matched_Distance,Predicted_Corrosion_Rate
12.0853471756,-0.4460535645,2.7000000477,0.0000003975,0.0000000000
12.1090488434,-0.2910590470,2.7000000477,0.0000004361,0.0000000000
12.1110544205,-0.6014844179,2.7000000477,0.0000002353,0.0000000000
12.1792507172,-0.1514952928,2.7000000477,0.0000004100,0.0000000000
12.1839685440,-0.7413640022,2.7000000477,0.0000004297,0.0000000000
12.2890605927,-0.0404358692,2.7000000477,0.0000001549,0.0000000000
12.2967929840,-0.8515394330,2.7000000477,0.0000002808,0.0000000000
12.4284791946,0.0315576009,2.7000000477,0.0000002886,0.0000000000
12.4379720688,-0.9209894538,2.7000000477,0.0000004121,0.0000000000
12.5838260651,0.0567977093,2.7000000477,0.0000000728,0.0000000000
12.5933856964,-0.9431352615,2.7000000477,0.0000001925,0.0000000000
12.7393627167,0.0324856676,2.7000000477,0.0000000989,0.0000000000
12.7480154037,-0.9159965515,2.7000000477,0.0000002196,0.0000000000
12.8793964386,-0.0388113149,2.7000000477,0.0000004539,0.0000000000
12.8869018555,-0.8420233130,2.7000000477,0.0000000914,0.0000000000
12.9899759293,-0.1494830847,2.7000000477,0.0000004121,0.0000000000
12.9960479736,-0.7283641696,2.7000000477,0.0000001617,0.0000000000
13.0607748032,-0.2884072363,2.7000000477,0.0000004196,0.0000000000
13.0644025803,-0.5863732100,2.7000000477,0.0000001044,0.0000000000
13.0853395462,-0.4431999922,2.7000000477,0.0000001351,0.0000000000
