X,Y,Z,Matched_Distance,Predicted_Corrosion_Rate
13.7188158035,0.9567999840,-0.6273951530,0.0000003740,0.0000000000
13.7404317856,0.9567999840,-0.4717996120,0.0000004648,0.0000000000
13.7465333939,0.9567999840,-0.7819882035,0.0000004052,0.0000000000
13.8092288971,0.9567999840,-0.3306351006,0.0000001937,0.0000000000
13.8208284378,0.9567999840,-0.9203395844,0.0000002789,0.0000000000
13.9184274673,0.9567999840,-0.2177654952,0.0000000693,0.0000000000
13.9343814850,0.9567999840,-1.0288288593,0.0000004054,0.0000000000
14.0572814941,0.9567999840,-0.1443261951,0.0000004145,0.0000000000
14.0760278702,0.9567999840,-1.0967539549,0.0000004510,0.0000000000
14.2120170593,0.9567999840,-0.1175919622,0.0000002911,0.0000000000
14.2187185287,0.9567999840,-1.1175470352,0.0000000921,0.0000000000
14.3673982620,0.9567999840,-0.1401642114,0.0000002326,0.0000000000
14.3737821579,0.9567999840,-1.0928944349,0.0000004536,0.0000000000
14.5081853867,0.9567999840,-0.2098600417,0.0000003138,0.0000000000
14.5136289597,0.9567999840,-1.0213141441,0.0000001043,0.0000000000
14.6204061508,0.9567999840,-0.3198104799,0.0000001120,0.0000000000
14.6243648529,0.9567999840,-0.9098669291,0.0000000804,0.0000000000
14.6929674149,0.9567999840,-0.4591566920,0.0000004157,0.0000000000
14.6950473785,0.9567999840,-0.7695689201,0.0000001029,0.0000000000
14.7187070847,0.9567999840,-0.6141932607,0.0000001076,0.0000000000
