X,Y,Z,Matched_Distance,Predicted_Corrosion_Rate
11.7111902237,-2.5639879704,-0.4312375188,0.0000002946,0.0008535902
11.8202333450,-2.5804553032,-0.3181988895,0.0000002061,0.0006829238
11.9598236084,-2.5884997845,-0.2442716360,0.0000003125,0.0007818784
12.1160631180,-2.5908806324,-0.2175723910,0.0000000575,0.0008444195
12.2727937698,-2.5887959003,-0.2411130816,0.0000002180,0.0007994272
12.4138631821,-2.5811855793,-0.3122196794,0.0000001631,0.0006507189
12.5251960754,-2.5653455257,-0.4230861962,0.0000002492,0.0009897269
