x-coordinate,y-coordinate,z-coordinate,r,theta,phi,actual,predicted,error,error_pct,zero_corrected
7.43409478,0.01639068885,-2.599948335,7.87564379573972,0.126325504380304,109.276373653147,0.001662688446,0.0016643801,1.69163127265357E-06,0.101679570878836,0
1.81553346E-14,-0.01656209773,-2.599947249,2.60000000012767,270.000000000063,179.635021262518,0.0008424292319,0.0009888775,0.000146448262919462,17.363432209903,0
15.08,-0.03748115984,-2.599729825,15.3024965283557,359.857592317778,99.7813805156648,0.0008628102369,0.0008710771,8.26688480109149E-06,0.957025565100882,0
12.22640291,-0.09731423914,-2.598178196,12.4997971230323,359.543972377461,101.996833318481,0.001662687864,0.0016197383,-4.29495701883211E-05,2.58158823645305,0
3.032981927,0.1128609097,-2.597549309,3.99486913016351,2.13106170353825,130.558294872364,0.001662694616,0.001664148,1.4533291209306E-06,0.0873555222787712,0
2.456374275,0.1403368389,-2.596209847,3.57683862885845,3.26985076319971,136.538707897168,0.001662692521,0.0015976166,-6.50759323031626E-05,3.91153602494091,0
14.25480273,0.143976238,-2.596010563,14.4899758754641,0.578678670550517,100.320781694389,0.001662691589,0.001664148,1.45635612093064E-06,0.0875376259974976,0
13.73978183,0.1488741218,-2.595734288,13.9836191572153,0.620790430074067,100.69767760254,0.001662690076,0.001664148,1.45786912093067E-06,0.0876286480253472,0
13.22748551,0.1522234421,-2.595540025,13.4805924541528,0.65933739047307,101.100995568836,0.001662690076,0.001664148,1.45786912093067E-06,0.0876286480253472,0
1.883351258,0.1630864039,-2.594880118,3.21045354474082,4.94910944913289,143.926243168249,0.001662695198,0.0016042206,-5.84746009265641E-05,3.51474242378406,0
1.355379844,0.1671684221,-2.594620342,2.93207341688251,7.03117766588372,152.240416634144,0.001662697643,0.0016497849,-1.29127874554328E-05,0.776149891764486,0
11.5580978,0.1699242243,-2.594441319,11.8469246960594,0.842287347136335,102.650130560383,0.0016626867,0.001664148,1.46124512093062E-06,0.087831748665817,0
0.853867774,0.1700546653,-2.594432772,2.73662020987451,11.2635417621381,161.449332117735,0.001662695198,0.0016847046,2.20093646491309E-05,1.32292048901682,0
12.73149545,0.1727076968,-2.594257514,12.9942670586244,0.777191904706854,101.516277172855,0.001662689145,0.001664148,1.45880012093064E-06,0.0876846570355327,0
11.11163375,-0.1750815312,-2.59409839,11.4117660593664,359.097288212634,103.139214981228,0.001662685419,0.001650167,-1.2518371953875E-05,0.752448258000573,0
