X,Y,Z,Predicted_Corrosion_Rate
-1.36203086,3.64493513,-1.14308584,0.012398523
-1.36196935,3.68519759,-1.14293504,0.0124077555
-1.36190784,3.72545648,-1.14278424,0.0124077555
-1.36184657,3.76564574,-1.14263368,0.011351465
-1.35952091,3.66381645,-1.16990805,0.0124077555
-1.35827792,3.66282654,-1.11427426,0.0124077555
-1.35732019,3.62726712,-1.17940927,0.0123964045
-1.35664928,3.69435525,-1.18111742,0.0124077555
-1.35617876,3.76578474,-1.18203783,0.0113095315
-1.35570705,3.62641311,-1.10529733,0.0123964045
-1.35556591,3.76549506,-1.10499322,0.011385901
-1.35523272,3.69376779,-1.10393345,0.0124077555
-1.35004437,3.73002982,-1.19822299,0.0124077555
-1.34802783,3.66280794,-1.2028085,0.0124077555
-1.34792793,3.73071933,-1.08667231,0.012412361
-1.3454169,3.66149354,-1.08208883,0.012412361
-1.33851612,3.76589179,-1.21785629,0.011347096
-1.33785784,3.69666052,-1.21918297,0.0124077555
-1.33783126,3.628016,-1.21962142,0.0123964045
-1.33738422,3.76533461,-1.06952691,0.011708762
-1.33445299,3.62718225,-1.06592548,0.01240101
-1.33372641,3.69550753,-1.0648936,0.012412361
-1.32524085,3.73156905,-1.23388004,0.0124077555
-1.32478833,3.66260028,-1.23469925,0.0124077555
-1.32108366,3.66017246,-1.05148041,0.01240101
-1.32098663,3.73025823,-1.05122697,0.012412361
-1.31062293,3.76595616,-1.24640405,0.011347096
-1.31018817,3.69701886,-1.24706149,0.0124077555
-1.31014907,3.62771606,-1.24742734,0.0123964045
-1.30897236,3.76518559,-1.04134643,0.011773309
-1.30650282,3.69538069,-1.0398047,0.012412361
-1.30431235,3.62661624,-1.03853357,0.01240101
-1.29356432,3.66257882,-1.25756514,0.0124077555
-1.29298961,3.73147964,-1.25754964,0.012418042
-1.29191434,3.73047829,-1.0311197,0.0124101695
-1.28841341,3.66133595,-1.02963793,0.0124101695
-1.27530956,3.69651675,-1.26515973,0.012406358
-1.27524042,3.62800765,-1.26547432,0.012395007
-1.27523232,3.76597142,-1.26488996,0.011281427
-1.27333677,3.76506424,-1.02344835,0.012120245
-1.2712816,3.6266458,-1.02326953,0.012404702
-1.26902497,3.69551015,-1.02239215,0.012416053
-1.2565372,3.73138762,-1.26975286,0.012422527
-1.25562775,3.66239476,-1.27018237,0.012412241
-1.25389361,3.73029041,-1.01903605,0.012416053
-1.25073838,3.66017675,-1.01884878,0.012404702
-1.23651969,3.69695973,-1.27172685,0.012412241
-1.2364769,3.62748265,-1.27198875,0.01240089
-1.23592651,3.76593614,-1.27147353,0.011459572
-1.23387277,3.76498151,-1.01748359,0.012332167
-1.2327261,3.69504571,-1.01776147,0.012428805
-1.23228395,3.62499595,-1.0180347,0.012417454
-1.21739829,3.66238451,-1.27063763,0.012424993
-1.21605313,3.7313242,-1.27019942,0.012424993
-1.21415555,3.66049838,-1.0195967,0.012417454
-1.21401215,3.73030448,-1.01934135,0.012428805
-1.19767392,3.69644022,-1.26613963,0.012424993
-1.19764662,3.62809062,-1.26635516,0.012413642
-1.19654071,3.76585388,-1.26555932,0.012073134
-1.19456351,3.76494622,-1.02404249,0.012282094
-1.19412553,3.69425273,-1.02449131,0.012428805
-1.19362628,3.62669253,-1.02495062,0.012417454
-1.17995214,3.73145008,-1.25909877,0.012426391
-1.17907655,3.66259265,-1.25888073,0.012426391
-1.17685401,3.65932751,-1.03197944,0.012417454
-1.17620981,3.7303679,-1.03199089,0.012428805
-1.16236961,3.69713235,-1.24894166,0.012426391
-1.16231084,3.62775135,-1.24908662,0.01241504
-1.16095197,3.69453597,-1.0415417,0.012430997
-1.16086411,3.76573253,-1.24769473,0.0120766545
-1.16017783,3.62620926,-1.04243338,0.012419646
-1.15920615,3.76496124,-1.04247272,0.012133952
-1.14749587,3.66282892,-1.23689127,0.012426391
-1.14701819,3.73180723,-1.23627722,0.012426391
-1.14530253,3.66048765,-1.0549835,0.012419646
-1.1441716,3.73036098,-1.05575597,0.012430997
-1.1340301,3.69687223,-1.22181511,0.012426391
-1.13400555,3.62829542,-1.22190237,0.01241504
-1.13254714,3.69523644,-1.06964648,0.012429503
-1.13247323,3.76558399,-1.21961808,0.011778253
-1.13243699,3.62625408,-1.07019973,0.012418152
-1.13128531,3.76502538,-1.07098687,0.011880287
-1.1232357,3.66283655,-1.20514584,0.012424897
-1.12218499,3.73008323,-1.08611941,0.012429503
-1.12206936,3.66086841,-1.08680713,0.012418152
-1.12122715,3.73004985,-1.20121777,0.012424897
-1.1142354,3.69446993,-1.18414688,0.012424897
-1.11420929,3.76542306,-1.1841321,0.011523572
-1.11360431,3.62726784,-1.18207526,0.012413546
-1.11358523,3.76513243,-1.10677874,0.011680094
-1.11288166,3.69771767,-1.1097306,0.012424897
-1.11282039,3.62608027,-1.11059999,0.012413546
-1.11110783,3.6636641,-1.17271519,0.012424897
-1.1105231,3.6627593,-1.11975586,0.012424897
-1.11023796,3.73444271,-1.12037504,0.012424897
-1.10805798,3.64453816,-1.14677632,0.012413546
-1.10799646,3.68479037,-1.14662552,0.012424897
-1.10793507,3.72503829,-1.14647472,0.012424897
-1.10787368,3.7652719,-1.14632404,0.011692411
