X [ m ],Y [ m ],Z [ m ],Corrosion Rate Mm Year,Total Pressure [ Pa ],Total Surface Corrosion Rate [ kg s^-1 m^-2 ],Total Temperature [ K ],Wall Shear [ Pa ],DENSITY,API,Sulphur,VR%,Cp,Viscosity,Molecular Weight,Thermal Conductivity,case,api_sulphur_ratio,flow_resistance,log_Viscosity,actual_CR,predicted_CR,error,absolute_error,pct_error
-7.90922022,-0.0597442761,0.276595891,0.0122396899,0.203689322,3.05604164e-09,380.000977,0.0739738643,827.0053496,39.6,1.0732,9.9,819.0,0.000633,132.7078931,0.3,I126to113P_3.2.xlsx,36.89899331998702,0.5234943862968,0.0006327997400052615,0.0122396899,0.012397516,-0.00015782568750867879,0.00015782568750867879,1.2894582198180053
-7.91003227,-0.0599711575,0.220743418,0.0122396899,0.490098268,3.05604164e-09,380.001068,0.081126295,827.0053496,39.6,1.0732,9.9,819.0,0.000633,132.7078931,0.3,I126to113P_3.2.xlsx,36.89899331998702,0.5234943862968,0.0006327997400052615,0.0122396899,0.012397516,-0.00015782568750867879,0.00015782568750867879,1.2894582198180053
-7.94896603,-0.0926619172,0.247551605,0.0122396927,0.813066781,3.05604186e-09,380.001129,0.0869495198,827.0053496,39.6,1.0732,9.9,819.0,0.000633,132.7078931,0.3,I126to113P_3.2.xlsx,36.89899331998702,0.5234943862968,0.0006327997400052615,0.0122396927,0.012397516,-0.00015782288750867783,0.00015782288750867783,1.289435048445158
-7.76778746,-0.382262886,-0.0356884375,0.0122397048,5.84806299,3.05604497e-09,380.002075,0.126815543,827.0053496,39.6,1.0732,9.9,819.0,0.000633,132.7078931,0.3,I126to113P_3.2.xlsx,36.89899331998702,0.5234943862968,0.0006327997400052615,0.0122397048,0.012397516,-0.0001578107875086776,0.0001578107875086776,1.2893349151344258
-7.82601643,-0.390155166,-0.016063571,0.0122397039,5.5731492,3.05604475e-09,380.001953,0.115157351,827.0053496,39.6,1.0732,9.9,819.0,0.000633,132.7078931,0.3,I126to113P_3.2.xlsx,36.89899331998702,0.5234943862968,0.0006327997400052615,0.0122397039,0.012397516,-0.00015781168750867922,0.00015781168750867922,1.2893423630598269
-7.80392647,-0.38961947,-0.0700479001,0.0122397048,5.91328478,3.05604497e-09,380.002075,0.118483692,827.0053496,39.6,1.0732,9.9,819.0,0.000633,132.7078931,0.3,I126to113P_3.2.xlsx,36.89899331998702,0.5234943862968,0.0006327997400052615,0.0122397048,0.012397516,-0.0001578107875086776,0.0001578107875086776,1.2893349151344258
-7.91432047,-0.361085951,0.161137074,0.012239702,4.3209033,3.05604431e-09,380.001556,0.107432052,827.0053496,39.6,1.0732,9.9,819.0,0.000633,132.7078931,0.3,I126to113P_3.2.xlsx,36.89899331998702,0.5234943862968,0.0006327997400052615,0.012239702,0.012397516,-0.00015781358750867856,0.00015781358750867856,1.2893580864614593
-7.95743132,-0.321586221,0.174246952,0.0122396993,3.70028877,3.05604364e-09,380.001434,0.116373852,827.0053496,39.6,1.0732,9.9,819.0,0.000633,132.7078931,0.3,I126to113P_3.2.xlsx,36.89899331998702,0.5234943862968,0.0006327997400052615,0.0122396993,0.012397516,-0.00015781628750867818,0.00015781628750867818,1.2893804302511285
-7.94666004,-0.335095435,0.119878538,0.012239702,4.09216404,3.05604431e-09,380.001556,0.126920328,827.0053496,39.6,1.0732,9.9,819.0,0.000633,132.7078931,0.3,I126to113P_3.2.xlsx,36.89899331998702,0.5234943862968,0.0006327997400052615,0.012239702,0.012397516,-0.00015781358750867856,0.00015781358750867856,1.2893580864614593
-7.72719526,-0.363900512,-0.00396771682,0.0122397058,5.56419802,3.05604497e-09,380.002075,0.126911253,827.0053496,39.6,1.0732,9.9,819.0,0.000633,132.7078931,0.3,I126to113P_3.2.xlsx,36.89899331998702,0.5234943862968,0.0006327997400052615,0.0122397058,0.012397516,-0.00015780978750867813,0.00015780978750867813,1.2893266396630616
-7.72800493,-0.364126772,-0.0596671291,0.0122397076,5.99852228,3.05604564e-09,380.002197,0.123348601,827.0053496,39.6,1.0732,9.9,819.0,0.000633,132.7078931,0.3,I126to113P_3.2.xlsx,36.89899331998702,0.5234943862968,0.0006327997400052615,0.0122397076,0.012397516,-0.0001578079875086784,0.0001578079875086784,1.2893117438180082
