X[m],Y[m],Z[m]
6.7221159934997559,5.4877510070800781,2.5835773944854736
6.7221159934997559,5.5183672904968262,2.5835773944854736
6.7254528999328613,5.5397748947143555,2.6199591159820557
6.7257375717163086,5.4868249893188477,2.6214656829833984
6.7260584831237793,5.496096134185791,2.5440635681152344
6.7365670204162598,5.5262274742126465,2.5089349746704102
6.7375669479370117,5.5162687301635742,2.6606590747833252
6.738649845123291,5.4835810661315918,2.5039527416229248
6.7563519477844238,5.4986567497253418,2.4716744422912598
6.760951042175293,5.4900789260864258,2.7020082473754883
6.7783522605895996,5.5316619873046875,2.444537878036499
6.7889089584350586,5.486788272857666,2.4343936443328857
6.7985939979553223,5.5200033187866211,2.7408742904663086
6.8109526634216309,5.5358424186706543,2.4173164367675781
6.8330926895141602,5.4934897422790527,2.4044828414916992
6.8434453010559082,5.4873032569885254,2.7674548625946045
6.8520317077636719,5.5293760299682617,2.7708959579467773
6.8804101943969727,5.4904232025146484,2.7791805267333984
6.8833937644958496,5.4958152770996094,2.3873617649078369
6.8970003128051758,5.5326728820800781,2.781994104385376
6.9081931114196777,5.5389456748962402,2.3840625286102295
6.9235625267028809,5.4921374320983887,2.7835721969604492
6.9332923889160156,5.4978399276733398,2.38388991355896
6.9403481483459473,5.5326557159423828,2.7827446460723877
6.9579591751098633,5.4962010383605957,2.780339241027832
6.9763050079345703,5.5192523002624512,2.3910584449768066
6.980797290802002,5.5256338119506836,2.7747750282287598
7.007448673248291,5.4932384490966797,2.4026951789855957
7.0166707038879395,5.506131649017334,2.7598142623901367
7.033484935760498,5.4811263084411621,2.4174540042877197
7.0357451438903809,5.5211629867553711,2.4189918041229248
7.0462613105773926,5.482029914855957,2.7403826713562012
7.0494632720947266,5.533726692199707,2.7377936840057373
7.0583877563476562,5.4925193786621094,2.4371874332427979
7.0789680480957031,5.5021419525146484,2.7076637744903564
7.0921874046325684,5.50885009765625,2.4783358573913574
7.1014533042907715,5.4892382621765137,2.6721107959747314
7.1076436042785645,5.481480598449707,2.5088813304901123
7.113224983215332,5.5142335891723633,2.5246086120605469
7.1157770156860352,5.5000524520874023,2.6335313320159912
7.1173009872436523,5.4835634231567383,2.5399560928344727
7.1202836036682129,5.5130648612976074,2.5565645694732666
7.1209526062011719,5.5259699821472168,2.6051201820373535
7.1221160888671875,5.4913530349731445,2.5835773944854736
7.1221160888671875,5.5321803092956543,2.5835773944854736
