X [ m ],Y [ m ],Z [ m ],Corrosion Rate Mm Year,Total Pressure [ Pa ],Total Surface Corrosion Rate [ kg s^-1 m^-2 ],Total Temperature [ K ],Wall Shear [ Pa ],DENSITY,API,Sulphur,VR%,Cp,Viscosity,Molecular Weight,Thermal Conductivity,case,api_sulphur_ratio,flow_resistance,log_Viscosity,actual_CR,predicted_CR,error,absolute_error,pct_error
-7.90922022,-0.0597442761,0.276595891,0.0129061081,8.8048048,3.22243454e-09,383.004852,0.226608217,850.1837544,34.93,1.2681,13.8,815.027438,0.000702,156.9673441,0.2624177177,I126to113P_5.2.xlsx,27.54514606462309,0.5968289955888,0.0007017537132554562,0.0129061081,0.015992416,-0.0030863079689115516,0.0030863079689115516,23.913545003333855
-7.91003227,-0.0599711575,0.220743418,0.0129061071,9.13665104,3.2224341e-09,383.004852,0.235093743,850.1837544,34.93,1.2681,13.8,815.027438,0.000702,156.9673441,0.2624177177,I126to113P_5.2.xlsx,27.54514606462309,0.5968289955888,0.0007017537132554562,0.0129061071,0.015992416,-0.003086308968911553,0.003086308968911553,23.91355460448966
-7.94896603,-0.0926619172,0.247551605,0.012906109,10.1535521,3.22243499e-09,383.005188,0.250546783,850.1837544,34.93,1.2681,13.8,815.027438,0.000702,156.9673441,0.2624177177,I126to113P_5.2.xlsx,27.54514606462309,0.5968289955888,0.0007017537132554562,0.012906109,0.015992735,-0.0030866255812320702,0.0030866255812320702,23.916004281328398
-7.76778746,-0.382262886,-0.0356884375,0.0129061164,22.5194168,3.22243632e-09,383.007446,0.329073757,850.1837544,34.93,1.2681,13.8,815.027438,0.000702,156.9673441,0.2624177177,I126to113P_5.2.xlsx,27.54514606462309,0.5968289955888,0.0007017537132554562,0.0129061164,0.015989155,-0.0030830381772552484,0.0030830381772552484,23.888194414675866
-7.82601643,-0.390155166,-0.016063571,0.0129061174,21.1284447,3.2224361e-09,383.00705,0.302618682,850.1837544,34.93,1.2681,13.8,815.027438,0.000702,156.9673441,0.2624177177,I126to113P_5.2.xlsx,27.54514606462309,0.5968289955888,0.0007017537132554562,0.0129061174,0.015989155,-0.003083037177255249,0.003083037177255249,23.888184815491968
-7.80392647,-0.38961947,-0.0700479001,0.0129061164,21.8925018,3.22243632e-09,383.006989,0.303744823,850.1837544,34.93,1.2681,13.8,815.027438,0.000702,156.9673441,0.2624177177,I126to113P_5.2.xlsx,27.54514606462309,0.5968289955888,0.0007017537132554562,0.0129061164,0.015989155,-0.0030830381772552484,0.0030830381772552484,23.888194414675866
-7.91432047,-0.361085951,0.161137074,0.0129061146,17.7401257,3.22243587e-09,383.006134,0.291922957,850.1837544,34.93,1.2681,13.8,815.027438,0.000702,156.9673441,0.2624177177,I126to113P_5.2.xlsx,27.54514606462309,0.5968289955888,0.0007017537132554562,0.0129061146,0.015989155,-0.003083039977255248,0.003083039977255248,23.88821169321064
-7.95743132,-0.321586221,0.174246952,0.0129061127,16.2652645,3.22243587e-09,383.00589,0.309757531,850.1837544,34.93,1.2681,13.8,815.027438,0.000702,156.9673441,0.2624177177,I126to113P_5.2.xlsx,27.54514606462309,0.5968289955888,0.0007017537132554562,0.0129061127,0.015989155,-0.0030830418772552493,0.0030830418772552493,23.88822993166925
-7.94666004,-0.335095435,0.119878538,0.0129061127,17.1031437,3.22243587e-09,383.006012,0.32393676,850.1837544,34.93,1.2681,13.8,815.027438,0.000702,156.9673441,0.2624177177,I126to113P_5.2.xlsx,27.54514606462309,0.5968289955888,0.0007017537132554562,0.0129061127,0.015989155,-0.0030830418772552493,0.0030830418772552493,23.88822993166925
-7.72719526,-0.363900512,-0.00396771682,0.0129061164,22.5155106,3.22243632e-09,383.007721,0.337783962,850.1837544,34.93,1.2681,13.8,815.027438,0.000702,156.9673441,0.2624177177,I126to113P_5.2.xlsx,27.54514606462309,0.5968289955888,0.0007017537132554562,0.0129061164,0.015989155,-0.0030830381772552484,0.0030830381772552484,23.888194414675866
