X[m],Y[m],Z[m]
-1.3620308637619019,3.644935131072998,-1.1430858373641968
-1.3619693517684937,3.6851975917816162,-1.142935037612915
-1.3619078397750854,3.7254564762115479,-1.1427842378616333
-1.3618465662002563,3.7656457424163818,-1.1426336765289307
-1.3595209121704102,3.6638164520263672,-1.1699080467224121
-1.3582779169082642,3.6628265380859375,-1.114274263381958
-1.3573201894760132,3.6272671222686768,-1.1794092655181885
-1.3566492795944214,3.6943552494049072,-1.1811174154281616
-1.3561787605285645,3.765784740447998,-1.1820378303527832
-1.355707049369812,3.626413106918335,-1.105297327041626
-1.3555659055709839,3.7654950618743896,-1.1049932241439819
-1.3552327156066895,3.693767786026001,-1.1039334535598755
-1.3500443696975708,3.730029821395874,-1.1982229948043823
-1.3480278253555298,3.6628079414367676,-1.2028084993362427
-1.3479279279708862,3.7307193279266357,-1.086672306060791
-1.3454169034957886,3.6614935398101807,-1.082088828086853
-1.3385161161422729,3.7658917903900146,-1.2178562879562378
-1.3378578424453735,3.6966605186462402,-1.2191829681396484
-1.3378312587738037,3.6280159950256348,-1.2196214199066162
-1.3373842239379883,3.7653346061706543,-1.0695269107818604
-1.3344529867172241,3.6271822452545166,-1.0659254789352417
-1.3337264060974121,3.6955075263977051,-1.0648936033248901
-1.3252408504486084,3.7315690517425537,-1.2338800430297852
-1.3247883319854736,3.6626002788543701,-1.2346992492675781
-1.321083664894104,3.6601724624633789,-1.0514804124832153
-1.3209866285324097,3.7302582263946533,-1.0512269735336304
-1.3106229305267334,3.7659561634063721,-1.2464040517807007
-1.3101881742477417,3.6970188617706299,-1.2470614910125732
-1.310149073600769,3.627716064453125,-1.2474273443222046
-1.3089723587036133,3.7651855945587158,-1.0413464307785034
-1.3065028190612793,3.695380687713623,-1.0398046970367432
-1.3043123483657837,3.6266162395477295,-1.0385335683822632
-1.2935643196105957,3.662578821182251,-1.2575651407241821
-1.2929896116256714,3.7314796447753906,-1.2575496435165405
-1.2919143438339233,3.7304782867431641,-1.031119704246521
-1.288413405418396,3.6613359451293945,-1.0296379327774048
-1.2753095626831055,3.696516752243042,-1.2651597261428833
-1.275240421295166,3.6280076503753662,-1.2654743194580078
-1.2752323150634766,3.7659714221954346,-1.2648899555206299
-1.2733367681503296,3.7650642395019531,-1.0234483480453491
-1.2712815999984741,3.6266458034515381,-1.0232695341110229
-1.2690249681472778,3.6955101490020752,-1.0223921537399292
-1.2565371990203857,3.7313876152038574,-1.2697528600692749
-1.2556277513504028,3.6623947620391846,-1.2701823711395264
-1.2538936138153076,3.730290412902832,-1.0190360546112061
-1.2507383823394775,3.6601767539978027,-1.0188487768173218
-1.2365196943283081,3.6969597339630127,-1.2717268466949463
-1.2364768981933594,3.6274826526641846,-1.2719887495040894
-1.2359265089035034,3.7659361362457275,-1.2714735269546509
-1.2338727712631226,3.7649815082550049,-1.0174835920333862
-1.2327260971069336,3.6950457096099854,-1.0177614688873291
-1.2322839498519897,3.6249959468841553,-1.0180346965789795
-1.2173982858657837,3.6623845100402832,-1.2706376314163208
-1.2160531282424927,3.7313241958618164,-1.2701994180679321
-1.2141555547714233,3.6604983806610107,-1.0195966958999634
-1.2140121459960938,3.730304479598999,-1.0193413496017456
-1.1976739168167114,3.6964402198791504,-1.2661396265029907
-1.1976466178894043,3.6280906200408936,-1.2663551568984985
-1.1965407133102417,3.7658538818359375,-1.2655593156814575
-1.1945635080337524,3.7649462223052979,-1.0240424871444702
-1.1941255331039429,3.6942527294158936,-1.0244913101196289
-1.1936262845993042,3.626692533493042,-1.0249506235122681
-1.1799521446228027,3.731450080871582,-1.2590987682342529
-1.1790765523910522,3.6625926494598389,-1.2588807344436646
-1.1768540143966675,3.659327507019043,-1.0319794416427612
-1.1762098073959351,3.73036789894104,-1.0319908857345581
-1.1623696088790894,3.6971323490142822,-1.2489416599273682
-1.1623108386993408,3.627751350402832,-1.2490866184234619
-1.1609519720077515,3.6945359706878662,-1.0415416955947876
-1.1608641147613525,3.7657325267791748,-1.247694730758667
-1.1601778268814087,3.6262092590332031,-1.0424333810806274
-1.1592061519622803,3.7649612426757812,-1.0424727201461792
-1.1474958658218384,3.6628289222717285,-1.2368912696838379
-1.1470181941986084,3.7318072319030762,-1.2362772226333618
-1.1453025341033936,3.6604876518249512,-1.0549834966659546
-1.1441715955734253,3.7303609848022461,-1.0557559728622437
-1.1340301036834717,3.6968722343444824,-1.2218151092529297
-1.1340055465698242,3.6282954216003418,-1.2219023704528809
-1.13254714012146,3.6952364444732666,-1.0696464776992798
-1.1324732303619385,3.7655839920043945,-1.2196180820465088
-1.132436990737915,3.6262540817260742,-1.070199728012085
-1.1312853097915649,3.7650253772735596,-1.0709868669509888
-1.1232357025146484,3.6628365516662598,-1.2051458358764648
-1.1221849918365479,3.7300832271575928,-1.0861194133758545
-1.1220693588256836,3.6608684062957764,-1.0868071317672729
-1.1212271451950073,3.7300498485565186,-1.2012177705764771
-1.1142354011535645,3.6944699287414551,-1.1841468811035156
-1.1142092943191528,3.765423059463501,-1.1841320991516113
-1.1136043071746826,3.6272678375244141,-1.1820752620697021
-1.1135852336883545,3.7651324272155762,-1.1067787408828735
-1.1128816604614258,3.6977176666259766,-1.10973060131073
-1.1128203868865967,3.6260802745819092,-1.1105999946594238
-1.1111078262329102,3.6636641025543213,-1.1727151870727539
-1.1105231046676636,3.6627593040466309,-1.1197558641433716
-1.1102379560470581,3.7344427108764648,-1.1203750371932983
-1.108057975769043,3.6445381641387939,-1.1467763185501099
-1.1079964637756348,3.6847903728485107,-1.1466255187988281
-1.1079350709915161,3.7250382900238037,-1.1464747190475464
-1.1078736782073975,3.7652719020843506,-1.1463240385055542
