X[m],Y[m],Z[m],TotalPressure[Pa],TotalSurfaceCorrosionRate[kgs^-1m^-2],TotalTemperature[K],WallShear[Pa],corrosionrate(mm/year),DENSITY,Cp,Viscosity,MolecularWeight,ThermalConductivity,case,corrosionratemm/year,CorrosionRateMmYear,radius_xyz,theta,phi,sin_theta,cos_theta,sin_phi,cos_phi,radial_distance,pressure_temp_ratio,shear_density,thermal_response,flow_resistance,mw_viscosity,log_TotalPressure[Pa],log_WallShear[Pa],log_Viscosity,actual_CR,predicted_CR,error,absolute_error,pct_error
6.74755526,5.44974422,2.48596334,-126.174507,6.3978276e-09,380.5,0.123734191,,847.7406084,815.4373541,0.000734,157.4947644,0.2610257598,ICE_161_P_15.xlsx,,0.025126012,9.022706233608687,0.6793954849977435,1.291662579869691,0.6283228547807165,0.7779526914666538,0.9612944716258545,0.2755230277518909,8.673477621472086,-0.3316018580727569,104.89449835822181,212.85015492325414,0.6222416065656,0.1156011570696,4.845560214153251,0.11665723862909706,0.0007337307537431127,0.025126012,0.024785975,0.0003400370056982037,0.0003400370056982037,1.3533266070424166
6.73923969,5.44974422,2.50260687,-127.814255,6.39782494e-09,380.5,0.0991379395,,847.7406084,815.4373541,0.000734,157.4947644,0.2610257598,ICE_161_P_15.xlsx,,0.0251260009,9.02109221815551,0.6799983299179644,1.2896914989751616,0.6287917254073626,0.7775737688857771,0.9607495264107487,0.27741728046666797,8.667010076300517,-0.3359113140516186,84.04325714725239,212.85015492325414,0.6222416065656,0.1156011570696,4.858371483012014,0.09452618119407694,0.0007337307537431127,0.0251260009,0.024840046,0.0002859551796611792,0.0002859551796611792,1.13808473058599
6.73864985,5.48358107,2.50395274,-129.159698,6.39782494e-09,380.5,0.120425858,,847.7406084,815.4373541,0.000734,157.4947644,0.2610257598,ICE_161_P_15.xlsx,,0.0251260046,9.041506648580249,0.6830694600478472,1.290188485671571,0.6311767865540467,0.775639003735183,0.960887280452284,0.27693976649266844,8.687868734745441,-0.3394473009109212,102.08989012801202,212.85015492325414,0.6222416065656,0.1156011570696,4.868762142686824,0.11370884339490252,0.0007337307537431127,0.0251260046,0.024802012,0.00032399223096332697,0.00032399223096332697,1.2894697589541644
2.96370435,6.13374424,3.23225403,-15.3746338,6.39782582e-09,380.5,0.160965666,,847.7406084,815.4373541,0.000734,157.4947644,0.2610257598,ICE_161_P_15.xlsx,,0.0251260046,7.540147743273559,1.120694795343724,1.127773407351635,0.900402935029674,0.4350569555701285,0.9034599506641733,0.4286725061697912,6.812221508138304,-0.04040639631956882,136.4571316263512,212.85015492325414,0.6222416065656,0.1156011570696,2.7957334179124733,0.1492521294963867,0.0007337307537431127,0.0251260046,0.025421008,-0.0002950038676742539,0.0002950038676742539,1.1740978016955108
2.99285555,6.13374424,3.18446803,-15.2281494,6.39782582e-09,380.5,0.147145733,,847.7406084,815.4373541,0.000734,157.4947644,0.2610257598,ICE_161_P_15.xlsx,,0.0251260046,7.531323879570647,1.1168489248581603,1.134230614920632,0.8987231076537275,0.4385165627079855,0.9062091237248383,0.42282978144622296,6.824954413393469,-0.040021417607358174,124.74141321688397,212.85015492325414,0.6222416065656,0.1156011570696,2.786747351611904,0.13727688587406262,0.0007337307537431127,0.0251260046,0.025421008,-0.0002950038676742539,0.0002950038676742539,1.1740978016955108
2.94123411,6.13374424,3.18511438,-15.2382994,6.39782494e-09,380.5,0.155489907,,847.7406084,815.4373541,0.000734,157.4947644,0.2610257598,ICE_161_P_15.xlsx,,0.0251260027,7.511233594107127,1.123669050686149,1.1328872437601227,0.9016929210292887,0.4323770069807933,0.9056402888682379,0.4240467747532748,6.802475761923792,-0.04004809303442712,131.81510836023944,212.85015492325414,0.6222416065656,0.1156011570696,2.787372612501582,0.14452441594728743,0.0007337307537431127,0.0251260027,0.025421008,-0.000295005767674255,0.000295005767674255,1.1741054523667387
2.45910072,6.13374424,2.04294109,-12.1276064,6.39782938e-09,380.5,0.274381965,,847.7406084,815.4373541,0.000734,157.4947644,0.2610257598,ICE_161_P_15.xlsx,,0.0251260195,6.916907043617695,1.189502719089538,1.2709695536232402,0.9281840331097327,0.3721214864532153,0.9553876668198152,0.29535471231823884,6.608327682011365,-0.031872815767887704,232.60473394308752,212.85015492325414,0.6222416065656,0.1156011570696,2.574717371619865,0.24246132775587476,0.0007337307537431127,0.0251260195,0.02533859,-0.0002125706451110848,0.0002125706451110848,0.8460179898476343
2.50105286,6.13374424,2.0368073,-13.1022148,6.39782805e-09,380.5,0.245922133,,847.7406084,815.4373541,0.000734,157.4947644,0.2610257598,ICE_161_P_15.xlsx,,0.0251260176,6.9301275448277755,1.1836242141529902,1.2724853733976527,0.9259804902153148,0.3775713597991845,0.9558342735602728,0.29390617803561997,6.624053427490403,-0.03443420446690055,208.47817864844572,212.85015492325414,0.6222416065656,0.1156011570696,2.6463318630628474,0.21987592483300206,0.0007337307537431127,0.0251260176,0.025314733,-0.00018871578603973233,0.00018871578603973233,0.7510771863513362
2.46776032,6.13374424,1.99689651,-12.2428141,6.39782849e-09,380.5,0.279352903,,847.7406084,815.4373541,0.000734,157.4947644,0.2610257598,ICE_161_P_15.xlsx,,0.0251260195,6.90653712582144,1.1882870134886678,1.2774770031820215,0.9277309571457611,0.3732496097163531,0.9572894303655445,0.28913136549051793,6.6115549909760025,-0.03217559553134887,236.81879994752617,212.85015492325414,0.6222416065656,0.1156011570696,2.583455073241527,0.2463544055695547,0.0007337307537431127,0.0251260195,0.02533859,-0.0002125706451110848,0.0002125706451110848,0.8460179898476343
2.47397089,6.13374424,2.09794807,-11.9287014,6.39782849e-09,380.5,0.269259244,,847.7406084,815.4373541,0.000734,157.4947644,0.2610257598,ICE_161_P_15.xlsx,,0.0251260195,6.9386408230083,1.187415854257163,1.2636316834712342,0.9274054453077017,0.37405766936880647,0.9531946907482413,0.30235720849578673,6.613875593500423,-0.03135006938156767,228.26199532588407,212.85015492325414,0.6222416065656,0.1156011570696,2.5594497546387096,0.2384334578600115,0.0007337307537431127,0.0251260195,0.025314733,-0.0001887138860397347,0.0001887138860397347,0.7510695676735586
