X[m],Y[m],Z[m],TotalPressure[Pa],TotalSurfaceCorrosionRate[kgs^-1m^-2],TotalTemperature[K],WallShear[Pa],corrosionrate(mm/year),DENSITY,Cp,Viscosity,MolecularWeight,ThermalConductivity,case,corrosionratemm/year,CorrosionRateMmYear,radius_xyz,theta,phi,sin_theta,cos_theta,sin_phi,cos_phi,radial_distance,pressure_temp_ratio,shear_density,thermal_response,flow_resistance,mw_viscosity,log_TotalPressure[Pa],log_WallShear[Pa],log_Viscosity,actual_CR,predicted_CR,error,absolute_error,pct_error
6.74755526,5.44974422,2.48596334,-44.0086861,4.30830482e-09,375.98703,0.0690907538,,833.8757637,817.8091212,0.000657,140.0415421,0.2660949039,ICE_161_P_21.xlsx,,0.0169198867,9.022706233608687,0.6793954849977435,1.291662579869691,0.6283228547807165,0.7779526914666538,0.9612944716258545,0.2755230277518909,8.673477621472086,-0.11704841547015468,57.61310508958368,217.61483951425748,0.5478563767509,0.0920072931597,3.8068554955879432,0.06680852441699772,0.0006567842699845753,0.0169198867,0.01742947,-0.0005095824532850256,0.0005095824532850256,3.0117367940466657
6.73923969,5.44974422,2.50260687,-45.4665337,4.30830349e-09,375.987,0.0799326226,,833.8757637,817.8091212,0.000657,140.0415421,0.2660949039,ICE_161_P_21.xlsx,,0.0169198811,9.02109221815551,0.6799983299179644,1.2896914989751616,0.6287917254073626,0.7775737688857771,0.9607495264107487,0.27741728046666797,8.667010076300517,-0.12092581312330143,66.65387671511888,217.61483951425748,0.5478563767509,0.0920072931597,3.8387323481047217,0.07689865270852936,0.0006567842699845753,0.0169198811,0.01742947,-0.0005095880532850275,0.0005095880532850275,3.0117708880052936
6.73864985,5.48358107,2.50395274,-44.1572533,4.30830527e-09,375.98703,0.124683194,,833.8757637,817.8091212,0.000657,140.0415421,0.2660949039,ICE_161_P_21.xlsx,,0.0169198904,9.041506648580249,0.6830694600478472,1.290188485671571,0.6311767865540467,0.775639003735183,0.960887280452284,0.27693976649266844,8.687868734745441,-0.11744355463225836,103.97029361730526,217.61483951425748,0.5478563767509,0.0920072931597,3.8101509159082854,0.11750139066482276,0.0006567842699845753,0.0169198904,0.017427877,-0.0005079861916824358,0.0005079861916824358,3.0023019041093364
2.96370435,6.13374424,3.23225403,-5.1768961,4.30828884e-09,375.98703,0.029499555,,833.8757637,817.8091212,0.000657,140.0415421,0.2660949039,ICE_161_P_21.xlsx,,0.0169198271,7.540147743273559,1.120694795343724,1.127773407351635,0.900402935029674,0.4350569555701285,0.9034599506641733,0.4286725061697912,6.812221508138304,-0.013768815642024437,24.598963954435153,217.61483951425748,0.5478563767509,0.0920072931597,1.8208158961092884,0.029072815236949268,0.0006567842699845753,0.0169198271,0.017465936,-0.0005461089200166705,0.0005461089200166705,3.2276270718179756
2.99285555,6.13374424,3.18446803,-5.18109083,4.30828484e-09,375.98703,0.0143541703,,833.8757637,817.8091212,0.000657,140.0415421,0.2660949039,ICE_161_P_21.xlsx,,0.0169198103,7.531323879570647,1.1168489248581603,1.134230614920632,0.8987231076537275,0.4385165627079855,0.9062091237248383,0.42282978144622296,6.824954413393469,-0.013779972223675375,11.969594721192358,217.61483951425748,0.5478563767509,0.0920072931597,1.8214947656023315,0.014252124559554753,0.0006567842699845753,0.0169198103,0.017465936,-0.0005461257200166693,0.0005461257200166693,3.2277295684833534
2.94123411,6.13374424,3.18511438,-5.14294958,4.3082844e-09,375.98703,0.0164237004,,833.8757637,817.8091212,0.000657,140.0415421,0.2660949039,ICE_161_P_21.xlsx,,0.0169198066,7.511233594107127,1.123669050686149,1.1328872437601227,0.9016929210292887,0.4323770069807933,0.9056402888682379,0.4240467747532748,6.802475761923792,-0.013678529229753522,13.695325713829996,217.61483951425748,0.5478563767509,0.0920072931597,1.8153050144320073,0.01629029017705724,0.0006567842699845753,0.0169198066,0.017465891,-0.0005460847165330886,0.0005460847165330886,3.227487934175404
2.45910072,6.13374424,2.04294109,-4.972054,4.30829461e-09,375.98703,0.0267895013,,833.8757637,817.8091212,0.000657,140.0415421,0.2660949039,ICE_161_P_21.xlsx,,0.0169198476,6.916907043617695,1.189502719089538,1.2709695536232402,0.9281840331097327,0.3721214864532153,0.9553876668198152,0.29535471231823884,6.608327682011365,-0.013224004029787304,22.339115855679644,217.61483951425748,0.5478563767509,0.0920072931597,1.7870909218329825,0.026436945283962742,0.0006567842699845753,0.0169198476,0.017459597,-0.0005397498385738379,0.0005397498385738379,3.190039599067888
2.50105286,6.13374424,2.0368073,-5.01321936,4.30829061e-09,375.98703,0.0189725552,,833.8757637,817.8091212,0.000657,140.0415421,0.2660949039,ICE_161_P_21.xlsx,,0.0169198308,6.9301275448277755,1.1836242141529902,1.2724853733976527,0.9259804902153148,0.3775713597991845,0.9558342735602728,0.29390617803561997,6.624053427490403,-0.01333349014689859,15.820753956740408,217.61483951425748,0.5478563767509,0.0920072931597,1.7939602723499422,0.018794820806247215,0.0006567842699845753,0.0169198308,0.017461902,-0.0005420707306234354,0.0005420707306234354,3.2037597597689795
2.46776032,6.13374424,1.99689651,-5.21923923,4.30829461e-09,375.98703,0.0207945686,,833.8757637,817.8091212,0.000657,140.0415421,0.2660949039,ICE_161_P_21.xlsx,,0.0169198476,6.90653712582144,1.1882870134886678,1.2774770031820215,0.9277309571457611,0.3732496097163531,0.9572894303655445,0.28913136549051793,6.6115549909760025,-0.013881434234210647,17.34008677213704,217.61483951425748,0.5478563767509,0.0920072931597,1.8276475889811856,0.02058131286539313,0.0006567842699845753,0.0169198476,0.017459597,-0.0005397498385738379,0.0005397498385738379,3.190039599067888
2.47397089,6.13374424,2.09794807,-4.7472105,4.30828839e-09,375.98703,0.0266013145,,833.8757637,817.8091212,0.000657,140.0415421,0.2660949039,ICE_161_P_21.xlsx,,0.0169198252,6.9386408230083,1.187415854257163,1.2636316834712342,0.9274054453077017,0.37405766936880647,0.9531946907482413,0.30235720849578673,6.613875593500423,-0.012625995369770443,22.182191444111385,217.61483951425748,0.5478563767509,0.0920072931597,1.7487146066606345,0.02625365158353431,0.0006567842699845753,0.0169198252,0.017459597,-0.0005397722385738386,0.0005397722385738386,3.1901762114063503
2.46808243,6.13374424,2.24233699,-4.73382187,4.30828662e-09,375.98703,0.0133788884,,833.8757637,817.8091212,0.000657,140.0415421,0.2660949039,ICE_161_P_21.xlsx,,0.0169198159,6.981570343391962,1.1882418159542258,1.2438216567572913,0.9277140862360839,0.373291540486987,0.947018349735465,0.3211794595927899,6.61167522516101,-0.012590386082929764,11.156330782007071,217.61483951425748,0.5478563767509,0.0920072931597,1.7463823014048627,0.01329018139744007,0.0006567842699845753,0.0169198159,0.017459597,-0.0005397815385738379,0.0005397815385738379,3.1902329300281314
2.46240187,6.13374424,2.28294778,-4.73017025,4.30828839e-09,375.987,0.0162265878,,833.8757637,817.8091212,0.000657,140.0415421,0.2660949039,ICE_161_P_21.xlsx,,0.0169198215,6.992717064011643,1.1890391365962494,1.2382244396508226,0.9280114243719922,0.37255173632002586,0.9452058135025367,0.32647506814611077,6.609556821082082,-0.012580674996407302,13.530958293970103,217.61483951425748,0.5478563767509,0.0920072931597,1.745745242327139,0.016096343779329943,0.0006567842699845753,0.0169198215,0.017459597,-0.000539775938573836,0.000539775938573836,3.190198776872049
2.49696875,6.13374424,2.27846098,-4.74110317,4.30829017e-09,375.98703,0.0164313894,,833.8757637,817.8091212,0.000657,140.0415421,0.2660949039,ICE_161_P_21.xlsx,,0.0169198308,7.003503107559267,1.1841952672700369,1.2394339266591787,0.9261959525236325,0.3770425142193398,0.9455999894084913,0.3253316154797457,6.622512464330267,-0.01260975191052176,13.701737384577084,217.61483951425748,0.5478563767509,0.0920072931597,1.7476513817608335,0.016297854907114603,0.0006567842699845753,0.0169198308,0.017461902,-0.0005420707306234354,0.0005420707306234354,3.2037597597689795
1.63736522,6.28895378,2.72952151,3.72118187,4.30831015e-09,375.987,0.391738921,,833.8757637,817.8091212,0.000657,140.0415421,0.2660949039,ICE_161_P_21.xlsx,,0.0169199072,7.04855958222633,1.3160950817204822,1.1731544443614506,0.9677386120615862,0.25195630320576373,0.9219767265063108,0.3872452914893963,6.498607890205559,0.009897102479343778,326.66159191988896,217.61483951425748,0.5478563767509,0.0920072931597,1.552059164440012,0.330553987568387,0.0006567842699845753,0.0169199072,0.01725204,-0.0003321319643047327,0.0003321319643047327,1.962965637808599
1.65101385,6.30174446,2.71541262,12.2681274,4.30831015e-09,375.98703,0.28486833,,833.8757637,817.8091212,0.000657,140.0415421,0.2660949039,ICE_161_P_21.xlsx,,0.016919909,7.05771178703748,1.314562236332659,1.1758658150368095,0.9673512652491765,0.25343940029288553,0.9230233017792119,0.3847440504707019,6.514432436677237,0.03262912393460409,237.5447962326936,217.61483951425748,0.5478563767509,0.0920072931597,2.5853647230887518,0.25065624617101895,0.0006567842699845753,0.016919909,0.01714256,-0.0002226513330135342,0.0002226513330135342,1.3159133007179595
1.64021778,6.30174446,2.7267952,13.2620163,4.30831015e-09,375.987,0.308017612,,833.8757637,817.8091212,0.000657,140.0415421,0.2660949039,ICE_161_P_21.xlsx,,0.0169199072,7.059582825331243,1.3161660554543113,1.174228907148168,0.9677564919037908,0.25188761854856667,0.9223922748839752,0.38625443846558594,6.511704661988965,0.03527253947516078,256.8484214395503,217.61483951425748,0.5478563767509,0.0920072931597,2.657599800502668,0.2685127177761612,0.0006567842699845753,0.0169199072,0.016777437,0.00014247001971931517,0.00014247001971931517,0.8420260112945235
2.42392874,6.13374424,2.26585627,-4.70429564,4.30828706e-09,375.98703,0.0137056541,,833.8757637,817.8091212,0.000657,140.0415421,0.2660949039,ICE_161_P_21.xlsx,,0.0169198178,6.973690097403919,1.194452623328181,1.2398745140995748,0.9300146203595443,0.367522524367545,0.9457432346489446,0.32491496443800677,6.595320230157985,-0.012511856166620644,11.428812779645536,217.61483951425748,0.5478563767509,0.0920072931597,1.7412195120633815,0.013612581076367501,0.0006567842699845753,0.0169198178,0.017445596,-0.0005257781349870677,0.0005257781349870677,3.107469248019876
2.18969727,6.13374424,2.20630026,-5.04438353,4.30828484e-09,375.98703,0.021554606,,833.8757637,817.8091212,0.000657,140.0415421,0.2660949039,ICE_161_P_21.xlsx,,0.0169198066,6.876434641095246,1.2279062357719817,1.2441701103293021,0.941786921582931,0.33621034239794906,0.9471302083697196,0.3208494481739552,6.51287897446119,-0.01341637643688357,17.973863539502602,217.61483951425748,0.5478563767509,0.0920072931597,1.7991294987175437,0.021325590528133178,0.0006567842699845753,0.0169198066,0.017437221,-0.0005174148823961257,0.0005174148823961257,3.0580425332139747
