Image_file_name,sharpness_raw,sharpness_score,contrast_raw,contrast_score,brightness_raw,brightness_score,clipping_percentage,clipping_score,noise_raw,noise_score,fundus_coverage,coverage_score,final_score
15_png.rf.7e29cbae5931e52d88ca713176df51a3.jpg,8.98,0.0,39.96,38.4,147.57,77.02,0.23,98.83,0.7,97.65,100.0,100.0,53.88
19_png.rf.7c62114bebebd4f0fb244ed047637b18.jpg,9.38,0.0,25.39,15.99,119.77,99.81,0.0,100.0,0.71,97.63,100.0,100.0,52.93
23_png.rf.69e41f6efa56aa1334ac009037425873.jpg,13.65,0.0,42.26,41.94,101.92,84.93,0.0,100.0,0.86,97.12,100.0,100.0,55.84
33_png.rf.c12aef4a98c64509e8dbc1b078a5b1b7.jpg,18.7,0.0,43.36,43.63,85.25,71.04,0.0,100.0,1.01,96.65,100.0,100.0,54.05
39_png.rf.600d1f564cbb5a9124b45dd6475823dd.jpg,11.34,0.0,37.18,34.13,107.02,89.18,0.0,100.0,0.79,97.38,100.0,100.0,54.94
41_png.rf.ddcf913cd650d852aae1a73ad618538c.jpg,7.65,0.0,31.38,25.21,136.55,86.2,0.0,100.0,0.64,97.85,100.0,100.0,52.76
42_png.rf.c2d0c8737268654efac1bc2e34a37b29.jpg,7.08,0.0,38.37,35.95,158.45,67.96,0.35,98.26,0.62,97.92,100.0,100.0,52.0
48_png.rf.86e9b7c2cd3449a9eef0e75144b72790.jpg,23.75,0.0,20.52,8.49,86.25,71.87,0.0,100.0,1.11,96.3,100.0,100.0,47.11
49_png.rf.55482a28a2839140619bb1f6756a2500.jpg,21.14,0.0,20.77,8.88,108.46,90.38,0.0,100.0,1.05,96.51,100.0,100.0,49.98
53_png.rf.04947fb1395e88d24ffa8b46cb00b191.jpg,12.1,0.0,24.93,15.28,117.08,97.57,0.0,100.0,0.81,97.29,100.0,100.0,52.42
54_png.rf.9ce4df66289729d240c5c43b3a347ac3.jpg,16.91,0.0,44.86,45.94,128.62,92.82,0.0,100.0,0.95,96.84,100.0,100.0,57.79
55_png.rf.84546bfd2eadffe494a2566447831450.jpg,9.35,0.0,27.8,19.69,95.5,79.59,0.0,100.0,0.71,97.62,100.0,100.0,50.64
62_png.rf.4f5b2bf1be8c1e2befef72c04ebbb104.jpg,9.61,0.0,31.95,26.07,111.5,92.92,0.0,100.0,0.72,97.6,100.0,100.0,53.91
63_png.rf.59bffb346188fb45f46dfb6ccb1fd94e.jpg,11.21,0.0,24.93,15.27,139.58,83.68,0.0,100.0,0.79,97.38,100.0,100.0,50.34
69_png.rf.82d3b0e1b9eaec000154693e4cf473a6.jpg,10.56,0.0,35.78,31.97,115.25,96.04,0.0,100.0,0.76,97.46,100.0,100.0,55.55
72_png.rf.b0707483c13e4da56fb262aac99506b7.jpg,12.71,0.0,44.12,44.79,117.12,97.6,0.0,100.0,0.84,97.22,100.0,100.0,58.32
73_png.rf.fc8473b996d828e66c5363f74cda7b3c.jpg,9.99,0.0,36.56,33.16,107.43,89.53,0.0,100.0,0.74,97.54,100.0,100.0,54.82
88_png.rf.4cc3bda7950074597f31e6ff6b549f0f.jpg,9.32,0.0,40.11,38.63,82.25,68.54,0.0,100.0,0.71,97.63,100.0,100.0,52.77
95_png.rf.58dafa5e6a47384455c3485840cc67e7.jpg,6.29,0.0,35.88,32.12,133.86,88.45,0.0,100.0,0.58,98.07,100.0,100.0,54.5
104_png.rf.7065e74448416dcba96e7aff160c5d6b.jpg,15.28,0.0,29.32,22.04,128.59,92.84,0.0,100.0,0.92,96.95,100.0,100.0,53.03
115_png.rf.898b9f21b348f3799dca7b558fb7db4a.jpg,11.96,0.0,32.59,27.07,111.25,92.71,0.0,100.0,0.81,97.3,100.0,100.0,54.05
120_png.rf.8ab3e26bee259a105ad23e2a53ccd940.jpg,22.43,0.0,43.63,44.05,135.54,87.05,0.59,97.04,1.08,96.39,100.0,100.0,56.21
127_png.rf.4163c7e744cec0ce1668e36dcdd6afdf.jpg,19.65,0.0,53.29,58.91,139.36,83.87,0.0,99.99,1.04,96.53,100.0,100.0,59.01
135_png.rf.8955637f1414543349ee77d7fe86d817.jpg,8.7,0.0,23.58,13.2,123.36,97.2,0.0,100.0,0.69,97.7,100.0,100.0,51.99
