filename,sharpness,contrast,brightness,noise,entropy,clipping,dynamic_range,edge_density,saturation,technical_score,ssim_vs_original,color_difference_vs_original,enhancement_safety_score,improvement_vs_original,final_evaluation_score,decision,decision_reason
1_OD_1.tif,24.5748712471756,20.9969974120778,75.9448079700425,0.990673780441284,6.14621313274881,0.00128620199251063,83,0.390821662581444,152.671924782907,64.2491348890627,0.975521566085959,3.08457136154175,78.7720029280869,2.54014127545857,72.9628557124772,RED_FLAG,NOISE_INCREASE
1_OD_1_green.tif,80.9611550926206,22.393196826428,68.2410498047377,1.82793045043945,6.17878704578097,0.0634841139174508,87,0.345802998770707,1.64264171754453,65.8993864875548,0.943994811805101,2.62256002426147,64.3945579925642,3.82816742129301,64.9964893905604,RED_FLAG,NOISE_INCREASE
1_OD_2_green.tif,60.3593666790416,12.7240407120066,98.1839267325609,1.53283762931824,5.56896256485338,0.0162167859951836,59,0.276864764535953,1.69994817999748,63.082916223288,0.939998992177476,2.57905101776123,62.7635606166748,3.40968921217903,62.8913028593201,RED_FLAG,NOISE_INCREASE
1_OS_1.tif,58.2054313501254,11.4509878517651,103.979102172593,1.44418179988861,5.30758227039265,0,57,0.775823473212588,166.04203588087,62.4697752331692,0.959507289959537,3.0931670665741,54.3479003753071,3.93821949444975,57.5966503184519,RED_FLAG,FINAL_SCORE_TOO_LOW;NOISE_INCREASE;EXCESSIVE_EDGE_INCREASE
1_OS_1_green.tif,124.757223404959,11.3243083793285,93.3548742069087,2.13147640228272,5.31463707332405,0.0110151568558336,51,0.468327752320526,2.75098218481965,62.0319416984895,0.924732618476686,2.89045310020447,58.5977547333688,4.44767388766665,59.971429519417,RED_FLAG,FINAL_SCORE_TOO_LOW;NOISE_INCREASE
1_OS_2.tif,17.5487722867249,14.3441173089556,89.1522386917066,0.827718496322632,5.72878424879806,0,58,0.312004958512211,135.50806236713,60.8052797006655,0.970283983709228,3.11904120445251,83.3384900924171,1.99788835854036,74.3252059357164,KEEP,PASSED
1_OS_2_green.tif,93.8754608826519,15.0411147962932,82.0759747057284,1.85467851161957,5.82024047762,0.0222743672756464,58,0.308569823892824,1.68529663870241,63.2843642755549,0.937611831077253,2.78935384750366,65.4015765401917,4.26729090751293,64.554691634337,RED_FLAG,NOISE_INCREASE
2_OD_1.tif,18.5310086035003,12.8504727423172,100.37793198092,0.898449003696442,5.36438138759053,0,74,0.331684318868488,181.998891434347,61.3961827222875,0.971355085949911,2.84579348564148,76.7553332823491,2.03351819956632,70.6116730583245,RED_FLAG,NOISE_INCREASE
2_OD_1_green.tif,86.1802824440792,11.1982924981854,85.5325462340679,1.76829934120178,5.07484105437768,0.0140382370627144,63,0.399592338438683,1.90831631058918,60.3133577583661,0.938243941328152,2.6839280128479,55.4245172968165,3.80206021950298,57.3800534814364,RED_FLAG,FINAL_SCORE_TOO_LOW;NOISE_INCREASE;EXCESSIVE_EDGE_INCREASE
2_OD_2.tif,18.7797941020559,12.8783480022649,119.584756890093,0.887357711791992,5.48522853230389,0,64,0.227899401169335,146.420646453857,60.147496184894,0.971032910996568,2.95256185531616,84.3481058931961,1.28405369707559,74.6678620098753,KEEP,PASSED
2_OD_2_green.tif,56.1881710195557,11.8702544959101,108.437389050066,1.49357759952545,5.34626386391041,0.0085849181043027,57,0.240488242346711,1.47027591853097,62.2974434860689,0.941311085356738,2.59212064743042,74.9838985626804,2.15712069795455,69.9093165320358,RED_FLAG,NOISE_INCREASE
2_OS_1.tif,24.891079134477,11.0590489006245,101.791075242997,0.978760302066803,4.98310879715794,0,71,0.48210227576619,187.225248363822,60.2282505886125,0.968994011432935,2.82762289047241,66.9886489094423,2.41101361423992,64.2844895811104,RED_FLAG,NOISE_INCREASE;EXCESSIVE_EDGE_INCREASE
2_OS_1_green.tif,58.645559021798,10.0340367637653,87.7273282080842,1.46554851531982,4.67003604183297,0.00360725662244465,61,0.349903892377131,2.19551073232463,58.2079596345055,0.936933149807966,2.66099548339844,57.4853980644629,2.9393786170585,57.7744226924799,RED_FLAG,FINAL_SCORE_TOO_LOW;NOISE_INCREASE;EXCESSIVE_EDGE_INCREASE
2_OS_2.tif,18.3203423192783,11.0307019638157,119.398864909901,0.869957029819489,5.2045375287943,0,60,0.249321673990621,145.632012932433,58.4960514609818,0.971250559883237,2.91648721694946,84.7347664125628,1.30242806211981,74.2392804319304,KEEP,PASSED
2_OS_2_green.tif,58.5700520903772,10.5281733346893,107.780801699414,1.51086950302124,5.0394310320615,0.00751040964866745,57,0.243720156245973,1.53617698059443,61.0702241049172,0.940757446944888,2.64452838897705,72.7113567317562,2.2622256556192,68.0549036810206,RED_FLAG,NOISE_INCREASE
