X[m],Y[m],Z[m],TotalPressure[Pa],TotalSurfaceCorrosionRate[kgs^-1m^-2],TotalTemperature[K],WallShear[Pa],corrosionrate(mm/year),DENSITY,Cp,Viscosity,MolecularWeight,ThermalConductivity,case,corrosionratemm/year,CorrosionRateMmYear,radius_xyz,theta,phi,sin_theta,cos_theta,sin_phi,cos_phi,radial_distance,pressure_temp_ratio,shear_density,thermal_response,flow_resistance,mw_viscosity,log_TotalPressure[Pa],log_WallShear[Pa],log_Viscosity,actual_CR,predicted_CR,error,absolute_error,pct_error
6.74755526,5.44974422,2.48596334,-265.420166,3.53989216e-09,383.0,0.146399349,,846.9882187,815.5640679,0.000723,156.2912963,0.2615904145,161_P9.xlsx,,0.0139021231,9.022706233608687,0.6793954849977435,1.291662579869691,0.6283228547807165,0.7779526914666538,0.9612944716258545,0.2755230277518909,8.673477621472086,-0.6930030443683288,123.99852382834963,213.34374257326715,0.6123724821201,0.1129986072249,5.585074633999469,0.13662602966704415,0.0007227387614094171,0.0139021231,0.014041441,-0.00013931746141376475,0.00013931746141376475,1.0021308285188717
6.73923969,5.44974422,2.50260687,-263.74411,3.53989238e-09,383.0,0.192643985,,846.9882187,815.5640679,0.000723,156.2912963,0.2615904145,161_P9.xlsx,,0.0139021231,9.02109221815551,0.6799983299179644,1.2896914989751616,0.6287917254073626,0.7775737688857771,0.9607495264107487,0.27741728046666797,8.667010076300517,-0.6886269190420723,163.1671856984195,213.34374257326715,0.6123724821201,0.1129986072249,5.578763736830828,0.17617267862997874,0.0007227387614094171,0.0139021231,0.014041441,-0.00013931746141376475,0.00013931746141376475,1.0021308285188717
6.73864985,5.48358107,2.50395274,-268.012848,3.53989305e-09,383.0,0.170500711,,846.9882187,815.5640679,0.000723,156.2912963,0.2615904145,161_P9.xlsx,,0.0139021268,9.041506648580249,0.6830694600478472,1.290188485671571,0.6311767865540467,0.775639003735183,0.960887280452284,0.27693976649266844,8.687868734745441,-0.699772449067891,144.41209349697348,213.34374257326715,0.6123724821201,0.1129986072249,5.594759140543052,0.15743161538136496,0.0007227387614094171,0.0139021268,0.014042045,-0.0001399181897646911,0.0001399181897646911,1.0064516873391387
2.96370435,6.13374424,3.23225403,-33.9525948,3.53989482e-09,383.0,0.386554092,,846.9882187,815.5640679,0.000723,156.2912963,0.2615904145,161_P9.xlsx,,0.0139021343,7.540147743273559,1.120694795343724,1.127773407351635,0.900402935029674,0.4350569555701285,0.9034599506641733,0.4286725061697912,6.812221508138304,-0.0886490725825418,327.4067618142759,213.34374257326715,0.6123724821201,0.1129986072249,3.553992709128507,0.32682159865564486,0.0007227387614094171,0.0139021343,0.013903253,-1.1184804374689272e-06,1.1184804374689272e-06,0.008045386508663445
2.99285555,6.13374424,3.18446803,-34.4056854,3.53989482e-09,383.0,0.368873417,,846.9882187,815.5640679,0.000723,156.2912963,0.2615904145,161_P9.xlsx,,0.0139021343,7.531323879570647,1.1168489248581603,1.134230614920632,0.8987231076537275,0.4385165627079855,0.9062091237248383,0.42282978144622296,6.824954413393469,-0.08983207676005661,312.43143839061224,213.34374257326715,0.6123724821201,0.1129986072249,3.5668724117639776,0.31398807818904667,0.0007227387614094171,0.0139021343,0.013903253,-1.1184804374689272e-06,1.1184804374689272e-06,0.008045386508663445
2.94123411,6.13374424,3.18511438,-34.1345062,3.53989482e-09,383.0,0.378206134,,846.9882187,815.5640679,0.000723,156.2912963,0.2615904145,161_P9.xlsx,,0.0139021324,7.511233594107127,1.123669050686149,1.1328872437601227,0.9016929210292887,0.4323770069807933,0.9056402888682379,0.4240467747532748,6.802475761923792,-0.089124037073391,320.3361397380735,213.34374257326715,0.6123724821201,0.1129986072249,3.55918373018365,0.320782750663906,0.0007227387614094171,0.0139021324,0.013903253,-1.1203804374700088e-06,1.1203804374700088e-06,0.008059054576328292
2.45910072,6.13374424,2.04294109,-29.3388309,3.53989527e-09,383.0,0.449131489,,846.9882187,815.5640679,0.000723,156.2912963,0.2615904145,161_P9.xlsx,,0.0139021343,6.916907043617695,1.189502719089538,1.2709695536232402,0.9281840331097327,0.3721214864532153,0.9553876668198152,0.29535471231823884,6.608327682011365,-0.07660269164290855,380.4090798301886,213.34374257326715,0.6123724821201,0.1129986072249,3.412428439888573,0.3709644038729823,0.0007227387614094171,0.0139021343,0.014122966,-0.00022083144562787954,0.00022083144562787954,1.5884715313964044
2.50105286,6.13374424,2.0368073,-31.2545414,3.53989482e-09,383.0,0.414792717,,846.9882187,815.5640679,0.000723,156.2912963,0.2615904145,161_P9.xlsx,,0.0139021343,6.9301275448277755,1.1836242141529902,1.2724853733976527,0.9259804902153148,0.3775713597991845,0.9558342735602728,0.29390617803561997,6.624053427490403,-0.08160454673416176,351.32454450156314,213.34374257326715,0.6123724821201,0.1129986072249,3.4736588519324236,0.346983030611879,0.0007227387614094171,0.0139021343,0.014122966,-0.00022083144562787954,0.00022083144562787954,1.5884715313964044
2.46776032,6.13374424,1.99689651,-29.4394054,3.53989527e-09,383.0,0.457454741,,846.9882187,815.5640679,0.000723,156.2912963,0.2615904145,161_P9.xlsx,,0.0139021343,6.90653712582144,1.1882870134886678,1.2774770031820215,0.9277309571457611,0.3732496097163531,0.9572894303655445,0.28913136549051793,6.6115549909760025,-0.0768652882486458,387.4587762154598,213.34374257326715,0.6123724821201,0.1129986072249,3.415737999294162,0.3766915862732364,0.0007227387614094171,0.0139021343,0.014122966,-0.00022083144562787954,0.00022083144562787954,1.5884715313964044
2.47397089,6.13374424,2.09794807,-29.381525,3.53989527e-09,383.0,0.437168211,,846.9882187,815.5640679,0.000723,156.2912963,0.2615904145,161_P9.xlsx,,0.0139021343,6.9386408230083,1.187415854257163,1.2636316834712342,0.9274054453077017,0.37405766936880647,0.9531946907482413,0.30235720849578673,6.613875593500423,-0.07671416448885864,370.2763243071557,213.34374257326715,0.6123724821201,0.1129986072249,3.4138346934061286,0.3626746573095708,0.0007227387614094171,0.0139021343,0.014122966,-0.00022083144562787954,0.00022083144562787954,1.5884715313964044
