X[m],Y[m],Z[m], Total Surface Corrosion Rate [ kg s^-1 m^-2 ],Corrosion_Rate
-18.0286198,12.6049995,-4.57648659,0.00000000187,0.00749883218
-18.0286198,12.6049995,-4.49365044,0.00000000187,0.00753077631
-17.9647236,12.6049995,-4.49365044,0.00000000207,0.00830737318
-17.9647236,12.6049995,-4.57648659,0.00000000205,0.00821612311
-17.9647236,12.2416391,-8.02706337,0.00000000356,0.01429582137
-17.9647236,12.2416391,-7.96315193,0.00000000356,0.01428628036
-18.0286198,12.2416391,-7.96315193,0.00000000356,0.01429984349
-18.0286198,12.2416391,-8.02706337,0.00000000356,0.01430803312
-17.4535313,12.6049995,-10.0718555,0.00000000358,0.01438262204
-17.4535313,12.6049995,-10.0079441,0.00000000358,0.01438224562
-17.3896351,12.6049995,-10.0079441,0.00000000358,0.01438302703
-17.3896351,12.6049995,-10.0718555,0.00000000358,0.01438329462
-20.1725159,12.2416391,-7.13246346,0.00000000349,0.01400985947
-20.1725159,12.2416391,-7.19637537,0.00000000349,0.01403569059
-20.1373196,12.2539244,-7.19637537,0.00000000348,0.01398204718
-20.1373196,12.2539244,-7.13246346,0.00000000347,0.01395624462
-20.0095158,12.6049995,-8.6021595,0.00000000354,0.01423915136
-20.0095158,12.6049995,-8.53824806,0.00000000354,0.0142308315
-19.9456196,12.6049995,-8.53824806,0.00000000354,0.01420469442
-19.9456196,12.6049995,-8.6021595,0.00000000354,0.01421444063
-17.389719,12.2520218,-9.30507851,0.00000000358,0.01437164128
-17.389719,12.2520218,-9.24116707,0.00000000358,0.01437026045
-17.4537582,12.2639217,-9.24116707,0.00000000358,0.01436843981
-17.4537582,12.2639217,-9.30507851,0.00000000358,0.01437056552
-18.6035748,12.2643738,-8.98557568,0.00000000357,0.01435906825
-18.6035748,12.2643738,-9.04948616,0.00000000358,0.01436258729
-18.5442352,12.271101,-9.04948616,0.00000000357,0.01436158288
-18.5442352,12.271101,-8.98557568,0.00000000357,0.01435781409
-19.0510273,12.2416391,-10.346241,0.00000000358,0.01438766018
-19.0510273,12.3274698,-10.346241,0.00000000358,0.01438704469
-18.9871311,12.3274698,-10.346241,0.00000000358,0.01438686893
-18.9871311,12.2416391,-10.346241,0.00000000358,0.01438728553
-19.6232357,12.5761013,-9.24116707,0.00000000356,0.01428671029
-19.6232357,12.5761013,-9.17725563,0.00000000354,0.01422162585
-19.5562363,12.5761013,-9.17725563,0.00000000356,0.01432093263
-19.5562363,12.5761013,-9.24116707,0.00000000357,0.01434537131
-17.6438637,12.5888662,-9.43284798,0.00000000358,0.01436524015
-17.6438637,12.5888662,-9.36896324,0.00000000357,0.01435621468
-17.6121159,12.5962973,-9.36896324,0.00000000357,0.0143569194
-17.6121159,12.5962973,-9.43284798,0.00000000358,0.01436353191
-18.156435,12.2416391,-7.3880558,0.00000000351,0.01408886835
-18.156435,12.2416391,-7.32417107,0.0000000035,0.01405195386
-18.2203312,12.2416391,-7.32417107,0.00000000349,0.01401065156
