X[m],Y[m],Z[m],CorrosionRateMmYear,TotalPressure[Pa],TotalSurfaceCorrosionRate[kgs^-1m^-2],TotalTemperature[K],WallShear[Pa],DENSITY,API,Sulphur,VR%,Cp,Viscosity,MolecularWeight,ThermalConductivity,case,radius_xyz,theta,phi,sin_theta,cos_theta,sin_phi,cos_phi,radial_distance,pressure_temp_ratio,shear_density,api_sulphur_ratio,thermal_response,flow_resistance,mw_viscosity,log_TotalPressure[Pa],log_WallShear[Pa],log_Viscosity,actual_CR,predicted_CR,error,absolute_error,pct_error
-18.0286198,12.6049995,-4.57648659,0.0101156496,0.2436693879410894,2.57574406e-09,377.5,0.004764872137457132,852.266468,34.53,1.6774,16.3,814.6798516,0.000753,163.44507,0.259619758,162_P_12.2.xlsx,22.469120449995415,2.531426583865771,1.775910496777418,0.5730035709203748,-0.8195528706023175,0.9790377368795427,-0.203678937953298,21.99811683503732,0.0006454818223434028,4.060940747062201,20.58542970916043,211.5069859198679,0.641756650404,0.12307413770999999,0.2180661936744588,0.004753556066397924,0.0007527166377389326,0.0101156496,0.009609768,0.0005058814328619005,0.0005058814328619005,5.0009782151004
-18.0286198,12.6049995,-4.49365044,0.0101156468,0.2436693879410894,2.5757434e-09,377.5,0.002722523175179958,852.266468,34.53,1.6774,16.3,814.6798516,0.000753,163.44507,0.259619758,162_P_12.2.xlsx,22.45239494051502,2.531426583865771,1.7722984147079495,0.5730035709203748,-0.8195528706023175,0.9797670535067098,-0.20014125227643645,21.99811683503732,0.0006454818223434028,2.320315210558768,20.58542970916043,211.5069859198679,0.641756650404,0.12307413770999999,0.2180661936744588,0.0027188238218226303,0.0007527166377389326,0.0101156468,0.009609768,0.0005058786328618996,0.0005058786328618996,5.0009519194747885
-17.9647236,12.6049995,-4.49365044,0.0101156551,0.2436693879410894,2.57574539e-09,377.5,0.002410296816378832,852.266468,34.53,1.6774,16.3,814.6798516,0.000753,163.44507,0.259619758,162_P_12.2.xlsx,22.401120523230738,2.5297582555593396,1.7727660050471812,0.5743700561129786,-0.8185957724303087,0.9796733622855861,-0.20059935998914555,21.945781061958066,0.0006454818223434028,2.0542151545268315,20.58542970916043,211.5069859198679,0.641756650404,0.12307413770999999,0.2180661936744588,0.002407396710150369,0.0007527166377389326,0.0101156551,0.009609768,0.0005058869328619011,0.0005058869328619011,5.001029867179742
-17.9647236,12.6049995,-4.57648659,0.0101156579,0.2436693879410894,2.57574606e-09,377.5,0.003188968170434237,852.266468,34.53,1.6774,16.3,814.6798516,0.000753,163.44507,0.259619758,162_P_12.2.xlsx,22.4178842875024,2.5297582555593396,1.7763859963804463,0.5743700561129786,-0.8185957724303087,0.9789407769488986,-0.20414444696510062,21.945781061958066,0.0006454818223434028,2.7178506391804094,20.58542970916043,211.5069859198679,0.641756650404,0.12307413770999999,0.2180661936744588,0.003183894195738955,0.0007527166377389326,0.0101156579,0.009609768,0.0005058897328619003,0.0005058897328619003,5.0010561627621835
-17.9647236,12.2416391,-8.02706337,0.0101156943,1.155121987904328,2.57575539e-09,377.5,0.02270875312387943,852.266468,34.53,1.6774,16.3,814.6798516,0.000753,163.44507,0.259619758,162_P_12.2.xlsx,23.17375170802176,2.543441176878831,1.924512186246614,0.5631158574562527,-0.8263779589759818,0.9380920704814972,-0.3463860090992962,21.73911272060214,0.0030599257956919965,19.353908817572687,20.58542970916043,211.5069859198679,0.641756650404,0.12307413770999999,0.7678473288697616,0.02245474763145453,0.0007527166377389326,0.0101156943,0.009643329,0.0004723649925630572,0.0004723649925630572,4.669625025307071
-17.9647236,12.2416391,-7.96315193,0.0101156943,1.146176776271271,2.57575539e-09,377.5,0.02273929305374622,852.266468,34.53,1.6774,16.3,814.6798516,0.000753,163.44507,0.259619758,162_P_12.2.xlsx,23.151691310556743,2.543441176878831,1.9219225317248136,0.5631158574562527,-0.8263779589759818,0.938985944007021,-0.3439555159569965,21.73911272060214,0.0030362298708368437,19.379936975733226,20.58542970916043,211.5069859198679,0.641756650404,0.12307413770999999,0.7636880155928114,0.0224846089910976,0.0007527166377389326,0.0101156943,0.009643329,0.0004723649925630572,0.0004723649925630572,4.669625025307071
-18.0286198,12.2416391,-7.96315193,0.0101156943,1.146176776271271,2.57575516e-09,377.5,0.02222065255045891,852.266468,34.53,1.6774,16.3,814.6798516,0.000753,163.44507,0.259619758,162_P_12.2.xlsx,23.201307040937664,2.545092290630721,1.921139304321549,0.5617506464874126,-0.8273066004638027,0.9392550513569002,-0.3432199710106431,21.79194483628299,0.0030362298708368437,18.93791706583481,20.58542970916043,211.5069859198679,0.641756650404,0.12307413770999999,0.7636880155928114,0.02197737116913218,0.0007527166377389326,0.0101156943,0.009643329,0.0004723649925630572,0.0004723649925630572,4.669625025307071
-18.0286198,12.2416391,-8.02706337,0.0101156943,1.155121987904328,2.57575561e-09,377.5,0.02203482575714588,852.266468,34.53,1.6774,16.3,814.6798516,0.000753,163.44507,0.259619758,162_P_12.2.xlsx,23.223320307260042,2.545092290630721,1.9237241719853102,0.5617506464874126,-0.8273066004638027,0.9383647363064854,-0.34564667169880287,21.79194483628299,0.0030599257956919965,18.77954312103815,20.58542970916043,211.5069859198679,0.641756650404,0.12307413770999999,0.7678473288697616,0.02179556728424915,0.0007527166377389326,0.0101156943,0.009643329,0.0004723649925630572,0.0004723649925630572,4.669625025307071
-17.4535313,12.6049995,-10.0718555,0.0101157054,3.502199232484334,2.57575827e-09,377.5,0.073387511074543,852.266468,34.53,1.6774,16.3,814.6798516,0.000753,163.44507,0.259619758,162_P_12.2.xlsx,23.768761861905226,2.516119988971046,2.0083704307642307,0.5854805211410598,-0.8106864741466907,0.9057822848465019,-0.42374338043000803,21.529323427248706,0.009277348959977644,62.54571485881165,20.58542970916043,211.5069859198679,0.641756650404,0.12307413770999999,1.5045659957222182,0.07081954577073545,0.0007527166377389326,0.0101157054,0.009643329,0.0004723760925630562,0.0004723760925630562,4.669729631671153
-17.4535313,12.6049995,-10.0079441,0.0101157045,3.502199232484334,2.57575805e-09,377.5,0.07243029773235321,852.266468,34.53,1.6774,16.3,814.6798516,0.000753,163.44507,0.259619758,162_P_12.2.xlsx,23.741750406063257,2.516119988971046,2.005932115547682,0.5854805211410598,-0.8106864741466907,0.9068128111459998,-0.42153354023314615,21.529323427248706,0.009277348959977644,61.72991402454108,20.58542970916043,211.5069859198679,0.641756650404,0.12307413770999999,1.5045659957222182,0.06992737924871925,0.0007527166377389326,0.0101157045,0.009643329,0.00047237519256305635,0.00047237519256305635,4.669721150082618
