x-coordinate,y-coordinate,z-coordinate
8.426547721,-0.008861978505,-2.599984897
1.815542133e-14,-0.01448182976,-2.599959668
15.08,-0.02133248435,-2.599912484
7.634160651,0.0710115126,-2.599030082
12.14901352,0.08072069505,-2.598746654
6.165872394,-0.08274443014,-2.598683005
6.82481358,0.08295402501,-2.598676323
12.63494059,0.08955841381,-2.598457098
3.076911692,0.1071301661,-2.597791972
13.20690759,0.1231173115,-2.597083389
11.02483832,-0.1232083958,-2.597079069
2.484705444,0.1256741375,-2.596960918
9.202135756,-0.1368847997,-2.596394144
1.900495994,0.1486342639,-2.595748034
14.26147817,0.1493012407,-2.595709756
1.363882939,0.1543335155,-2.595415413
0.8557621593,0.1632317479,-2.594870979
11.62045751,-0.1754934903,-2.594070553
5.643863445,0.1828610057,-2.593561615
13.7133748,0.1845041788,-2.593445239
0.4084697851,0.1876870713,-2.593216837
3.670209416,-0.2122271734,-2.591323914
0.5299286161,-0.2259583113,-2.590162706
14.72076134,0.2541826224,-2.587545399
10.45308312,0.2649392415,-2.58646616
9.949522419,-0.2656330648,-2.586394996
14.02336359,-0.2845295986,-2.584384435
13.45972554,-0.3015246363,-2.582456755
1.10145887,-0.3118343859,-2.581232131
5.227189986,-0.3176297261,-2.580525403
1.670954816,-0.3250945314,-2.579595617
14.61360683,-0.3252838661,-2.579571749
2.279749455,-0.3273014818,-2.579316526
4.970167455,0.3370075685,-2.57806631
2.943440671,-0.3540183299,-2.575785516
4.568989749,-0.3840404974,-2.571480682
12.89988778,-0.3908689521,-2.570451607
11.20192307,0.3933515456,-2.570072871
4.155857192,0.397626554,-2.569414938
9.598228094,0.4271031537,-2.564679882
10.63115994,-0.4306744466,-2.564082589
11.8306293,0.4594461665,-2.559083668
3.408494919,0.460222672,-2.558944136
-0.4371761183,0.1775339352,-2.556825912
15.08,0.4973165986,-2.551994553
1.78133922e-14,0.5024991242,-2.550979151
2.725693864,0.5136939782,-2.548748418
12.22439904,-0.5189268731,-2.547688148
8.884467724,0.5190331407,-2.547666501
15.55947568,0.2350925028,-2.544569627
12.46184908,0.5361702665,-2.544115061
2.090984654,0.5540017706,-2.540291723
0.6008265425,0.5618161293,-2.538574922
1.570356018,0.5676136798,-2.537284909
13.01610726,0.5688396925,-2.537010328
1.084821052,0.5747746816,-2.53567231
-0.4724620036,-0.3303360723,-2.535282575
13.51740957,0.5803130365,-2.534410539
1.7693284250000002e-14,-0.5830642667,-2.533779008
13.98606451,0.5872240058,-2.532818187
15.08,-0.5900850442,-2.532153163
14.41502064,0.5902399691,-2.532117055
15.56120323,-0.3536341275,-2.530491327
7.252249987,-0.6007340239,-2.529647927
8.036506121,-0.611124131,-2.527157948
14.79235196,0.6449304911,-2.518742675
11.21756794,-0.6607608331,-2.514636181
14.21087738,-0.6842360753,-2.508350253
6.515473845,-0.686032549,-2.507859514
8.803023399,-0.6903917563,-2.506662966
5.737860363,-0.717154181,-2.499137827
13.73709538,-0.7213682812,-2.497924699
0.7603485277,-0.7638936873,-2.485249773
9.545991868,-0.7996014826,-2.473992213
1.413884835,-0.812436975,-2.469806908
4.087082499,-0.8206787682,-2.467080534
2.046550123,-0.8215486152,-2.466791007
13.2099342,-0.8247285348,-2.465729678
2.722103197,-0.8250427692,-2.465624551
5.103462213,-0.8253457535,-2.465523147
