x-coordinate,y-coordinate,z-coordinate,corrosion-rate-2,total-pressure,density,total-temperature,turb-kinetic-energy,wall-shear,crude-p-h+,crude-p-h2s,Crude temperature(K),MW(g/gmol),k (W/m-k),Density(kg/m3),Cp (J/kg-K),Viscosity (Pa-s),Sulfur,H+,Temperature Overhead drum (K),Flow rate crude inlet(kg/s),Flow rate ww inlet(kg/s),Flow rate outlet 1(kg/s),Flow rate outlet 2(kg/s),Crude inlet mf,r,theta,phi,case,r_norm,sin_theta,cos_theta,sin_phi,cos_phi,true,pred,error,abs_pct_error,simulation
8.426547721,-0.008861978505,-2.599984897,0.003999983892,2088.255266,0.6736361718,320.2793442,37.92350016,3.212495757,0.00244410453,0.03218856798,319.349451782111,154.004230829755,0.233607335359755,839.302228931068,802.672448319118,0.0007938387169651,0.0321973077260331,0.0024445787134002,321.686308776081,105.84916269741096,42.05905388116204,129.01639094270377,18.891825635869225,0.9653581135605668,8.818543331728966,359.9397435585617,107.1474373151308,ICV_113_CASE_3_with_r_theta_phi.csv,0.49924550528918654,-0.0010516731047720835,0.9999994469916874,0.9555492402736089,-0.29483156108620545,0.003999983892,0.0041523296,-0.00015234574660034916,3.8086590015263626,ICV_113_CASE_3_with_r_theta_phi.csv
1.815542133e-14,-0.01448182976,-2.599959668,0.004000339191,5433.922464,0.674130111,323.7584246,235.2985923,25.02047548,0.002444471724,0.03219487679,319.349451782111,154.004230829755,0.233607335359755,839.302228931068,802.672448319118,0.0007938387169651,0.0321973077260331,0.0024445787134002,321.686308776081,105.84916269741096,42.05905388116204,129.01639094270377,18.891825635869225,0.9653581135605668,2.5999999997345897,270.00000000007185,179.68086460946552,ICV_113_CASE_3_with_r_theta_phi.csv,0.14719418670304207,-1.0,1.2539242315967048e-12,0.0055699345236294665,-0.999984487794387,0.004000339191,0.0041523296,-0.00015199044760034943,3.7994390051799742,ICV_113_CASE_3_with_r_theta_phi.csv
15.08,-0.02133248435,-2.599912484,0.003999416251,2324.943746,0.6851101002,320.690308,10.60351986,2.293935064,0.0,0.0,319.349451782111,154.004230829755,0.233607335359755,839.302228931068,802.672448319118,0.0007938387169651,0.0321973077260331,0.0024445787134002,321.686308776081,105.84916269741096,42.05905388116204,129.01639094270377,18.891825635869225,0.9653581135605668,15.302496528323331,359.9189482424089,99.78207451889456,ICV_113_CASE_3_with_r_theta_phi.csv,0.8663225120163879,-0.0014146195626827346,0.9999989994252458,0.9854611017732204,-0.16990119744107313,0.003999416251,0.0026799187,0.0013194975911490449,32.99225456938121,ICV_113_CASE_3_with_r_theta_phi.csv
7.634160651,0.0710115126,-2.599030082,0.004000038374,2142.372106,0.6736212792,320.3824468,53.26730487,4.159820702,0.00244412663,0.03218899735,319.349451782111,154.004230829755,0.233607335359755,839.302228931068,802.672448319118,0.0007938387169651,0.0321973077260331,0.0024445787134002,321.686308776081,105.84916269741096,42.05905388116204,129.01639094270377,18.891825635869225,0.9653581135605668,8.064763409260028,0.5329390899373152,108.80025137541134,ICV_113_CASE_3_with_r_theta_phi.csv,0.45657165042294673,0.009301407706380972,0.9999567409716681,0.9466478462210884,-0.32226984848876966,0.004000038374,0.004129476,-0.00012943753994185993,3.23590745405936,ICV_113_CASE_3_with_r_theta_phi.csv
12.14901352,0.08072069505,-2.598746654,0.003999801818,1912.757381,0.6737314216,321.4554899,7.182060815,0.8123448662,0.002350321351,0.0309527318,319.349451782111,154.004230829755,0.233607335359755,839.302228931068,802.672448319118,0.0007938387169651,0.0321973077260331,0.0024445787134002,321.686308776081,105.84916269741096,42.05905388116204,129.01639094270377,18.891825635869225,0.9653581135605668,12.424110813713323,0.3806800513247026,102.07369485214524,ICV_113_CASE_3_with_r_theta_phi.csv,0.7033680334306477,0.0066440714090068975,0.9999779279139676,0.9778793719853575,-0.20916962935742575,0.003999801818,0.0041600666,-0.00016026478288896744,4.00681809102821,ICV_113_CASE_3_with_r_theta_phi.csv
6.165872394,-0.08274443014,-2.598683005,0.004000122659,2247.545631,0.6737647963,320.5259581,119.7372706,7.210545765,0.002444169184,0.03218976746,319.349451782111,154.004230829755,0.233607335359755,839.302228931068,802.672448319118,0.0007938387169651,0.0321973077260331,0.0024445787134002,321.686308776081,105.84916269741096,42.05905388116204,129.01639094270377,18.891825635869225,0.9653581135605668,6.691635254576143,359.2311514482995,112.85174461061143,ICV_113_CASE_3_with_r_theta_phi.csv,0.3788345419658792,-0.013418535959937148,0.9999099673934108,0.9215128050099288,-0.388347975664523,0.004000122659,0.0041523296,-0.00015220697960034984,3.8050578079110666,ICV_113_CASE_3_with_r_theta_phi.csv
6.82481358,0.08295402501,-2.598676323,0.004000086803,2181.296033,0.6737179445,320.4469378,79.36893131,5.497472561,0.002444151632,0.03218944052,319.349451782111,154.004230829755,0.233607335359755,839.302228931068,802.672448319118,0.0007938387169651,0.0321973077260331,0.0024445787134002,321.686308776081,105.84916269741096,42.05905388116204,129.01639094270377,18.891825635869225,0.9653581135605668,7.303292435863333,0.6963826087037432,110.84386654003754,ICV_113_CASE_3_with_r_theta_phi.csv,0.41346238094658444,0.012153870134302965,0.999926138992655,0.9345535270263755,-0.35582257534136524,0.004000086803,0.004129476,-0.00012938911094186045,3.234657578242406,ICV_113_CASE_3_with_r_theta_phi.csv
12.63494059,0.08955841381,-2.598457098,0.003999666311,2053.836771,0.6802523938,321.0109729,7.754485475,1.00236141,0.001264360441,0.01665094628,319.349451782111,154.004230829755,0.233607335359755,839.302228931068,802.672448319118,0.0007938387169651,0.0321973077260331,0.0024445787134002,321.686308776081,105.84916269741096,42.05905388116204,129.01639094270377,18.891825635869225,0.9653581135605668,12.899679209672628,0.4061145488919919,101.62093280557656,ICV_113_CASE_3_with_r_theta_phi.csv,0.73029145776605,0.00708797666777681,0.9999748799778708,0.9795017211347322,-0.20143579198865627,0.003999666311,0.0022669437,0.0017327226234269246,43.321679566825935,ICV_113_CASE_3_with_r_theta_phi.csv
3.076911692,0.1071301661,-2.597791972,0.00400026422,3787.905299,0.6739835252,321.9377029,268.8304,19.2295047,0.002444371126,0.03219304575,319.349451782111,154.004230829755,0.233607335359755,839.302228931068,802.672448319118,0.0007938387169651,0.0321973077260331,0.0024445787134002,321.686308776081,105.84916269741096,42.05905388116204,129.01639094270377,18.891825635869225,0.9653581135605668,4.028322921842608,1.9940864343336104,130.1568107511671,ICV_113_CASE_3_with_r_theta_phi.csv,0.22805604473783586,0.034796348198857525,0.9993944237146932,0.7642823541071249,-0.6448817590849282,0.00400026422,0.004129476,-0.0001292116939418603,3.230078984871642,ICV_113_CASE_3_with_r_theta_phi.csv
13.20690759,0.1231173115,-2.597083389,0.003999277949,2166.497152,0.6846617301,320.8144287,11.42567865,1.897662796,3.464858701e-05,0.0004563078284,319.349451782111,154.004230829755,0.233607335359755,839.302228931068,802.672448319118,0.0007938387169651,0.0321973077260331,0.0024445787134002,321.686308776081,105.84916269741096,42.05905388116204,129.01639094270377,18.891825635869225,0.9653581135605668,13.460401483336607,0.5341067131031423,101.124554629959,ICV_113_CASE_3_with_r_theta_phi.csv,0.7620357112455405,0.009321785691544317,0.9999565512118619,0.9812100668329377,-0.19294249077303327,0.003999277949,0.002603824,0.0013954539314305773,34.89264684467798,ICV_113_CASE_3_with_r_theta_phi.csv
