X[m],Y[m],Z[m], Total Surface Corrosion Rate [ kg s^-1 m^-2 ],Corrosion_Rate
-18.0286198,12.6049995,-4.57648659,0.00000000347,0.013927043
-18.0286198,12.6049995,-4.49365044,0.00000000347,0.013927037
-17.9647236,12.6049995,-4.49365044,0.00000000347,0.013927043
-17.9647236,12.6049995,-4.57648659,0.00000000347,0.013927051
-17.9647236,12.2416391,-8.02706337,0.00000000347,0.013927108
-17.9647236,12.2416391,-7.96315193,0.00000000347,0.013927107
-18.0286198,12.2416391,-7.96315193,0.00000000347,0.013927107
-18.0286198,12.2416391,-8.02706337,0.00000000347,0.013927108
-17.4535313,12.6049995,-10.0718555,0.00000000347,0.013927126
-17.4535313,12.6049995,-10.0079441,0.00000000347,0.013927125
-17.3896351,12.6049995,-10.0079441,0.00000000347,0.01392712
-17.3896351,12.6049995,-10.0718555,0.00000000347,0.013927123
-20.1725159,12.2416391,-7.13246346,0.00000000347,0.013926919
-20.1725159,12.2416391,-7.19637537,0.00000000347,0.013926919
-20.1373196,12.2539244,-7.19637537,0.00000000347,0.013926969
-20.1373196,12.2539244,-7.13246346,0.00000000347,0.013926971
-20.0095158,12.6049995,-8.6021595,0.00000000347,0.013927101
-20.0095158,12.6049995,-8.53824806,0.00000000347,0.013927099
-19.9456196,12.6049995,-8.53824806,0.00000000347,0.013927102
-19.9456196,12.6049995,-8.6021595,0.00000000347,0.013927104
-17.389719,12.2520218,-9.30507851,0.00000000347,0.013927118
-17.389719,12.2520218,-9.24116707,0.00000000347,0.013927117
-17.4537582,12.2639217,-9.24116707,0.00000000347,0.013927119
-17.4537582,12.2639217,-9.30507851,0.00000000347,0.013927121
-18.6035748,12.2643738,-8.98557568,0.00000000347,0.013927118
-18.6035748,12.2643738,-9.04948616,0.00000000347,0.013927119
-18.5442352,12.271101,-9.04948616,0.00000000347,0.013927119
-18.5442352,12.271101,-8.98557568,0.00000000347,0.013927118
-19.0510273,12.2416391,-10.346241,0.00000000347,0.013927134
-19.0510273,12.3274698,-10.346241,0.00000000347,0.013927134
-18.9871311,12.3274698,-10.346241,0.00000000347,0.013927133
-18.9871311,12.2416391,-10.346241,0.00000000347,0.013927132
-19.6232357,12.5761013,-9.24116707,0.00000000347,0.013927095
-19.6232357,12.5761013,-9.17725563,0.00000000347,0.013927091
-19.5562363,12.5761013,-9.17725563,0.00000000347,0.013927103
-19.5562363,12.5761013,-9.24116707,0.00000000347,0.013927106
-17.6438637,12.5888662,-9.43284798,0.00000000347,0.013927107
-17.6438637,12.5888662,-9.36896324,0.00000000347,0.013927109
-17.6121159,12.5962973,-9.36896324,0.00000000347,0.01392711
-17.6121159,12.5962973,-9.43284798,0.00000000347,0.013927109
-18.156435,12.2416391,-7.3880558,0.00000000347,0.013927103
-18.156435,12.2416391,-7.32417107,0.00000000347,0.013927101
-18.2203312,12.2416391,-7.32417107,0.00000000347,0.0139271
-18.2203312,12.2416391,-7.3880558,0.00000000347,0.013927101
-17.5797348,12.271101,-8.66607094,0.00000000347,0.013927108
-17.5797348,12.271101,-8.6021595,0.00000000347,0.013927107
-17.6458168,12.2611341,-8.6021595,0.00000000347,0.013927107
-17.6458168,12.2611341,-8.66607094,0.00000000347,0.013927109
-19.8154697,12.5880909,-8.6021595,0.00000000347,0.013927102
-19.8154697,12.5880909,-8.53824806,0.00000000347,0.013927101
-19.7532349,12.5761013,-8.53824806,0.00000000347,0.013927098
-19.7532349,12.5761013,-8.6021595,0.00000000347,0.013927099
-18.7857361,12.271101,-8.3465395,0.00000000347,0.0139271
-18.7857361,12.271101,-8.41042423,0.00000000347,0.013927101
-18.7315483,12.2647648,-8.41042423,0.00000000347,0.013927103
-18.7315483,12.2647648,-8.3465395,0.00000000347,0.0139271
-17.7422104,12.2502956,-8.02706337,0.00000000347,0.013927105
-17.7422104,12.2502956,-7.96315193,0.00000000347,0.013927104
-17.8369198,12.2416391,-7.96315193,0.00000000347,0.013927105
-17.8369198,12.2416391,-8.02706337,0.00000000347,0.013927106
-20.0095158,12.6049995,-7.96315193,0.00000000347,0.013927094
-20.0095158,12.6049995,-7.89924002,0.00000000347,0.013927093
-19.9456196,12.6049995,-7.89924002,0.00000000347,0.0139271
-19.9456196,12.6049995,-7.96315193,0.00000000347,0.0139271
-17.4537582,12.2639217,-8.6021595,0.00000000347,0.013927104
-17.4537582,12.2639217,-8.66607094,0.00000000347,0.013927106
-17.389719,12.2520218,-8.66607094,0.00000000347,0.013927098
-17.389719,12.2520218,-8.6021595,0.00000000347,0.013927096
-18.3469486,12.258604,-6.74910259,0.00000000347,0.013927088
-18.3469486,12.258604,-6.68519068,0.00000000347,0.013927089
-18.411478,12.2614498,-6.68519068,0.00000000347,0.013927085
-18.411478,12.2614498,-6.74910259,0.00000000347,0.013927085
-17.8407364,12.5761013,-8.79389477,0.00000000347,0.0139271
-17.8407364,12.5761013,-8.72998333,0.00000000347,0.0139271
-17.773735,12.5761013,-8.72998333,0.00000000347,0.013927104
-17.773735,12.5761013,-8.79389477,0.00000000347,0.013927105
-20.1725159,12.2416391,-8.92166328,0.00000000347,0.013927103
-20.1725159,12.3274698,-8.92166328,0.00000000347,0.013927106
-20.1725159,12.3274698,-8.98557568,0.00000000347,0.013927109
-20.1725159,12.2416391,-8.98557568,0.00000000347,0.013927107
-17.4535313,12.6049995,-9.43284798,0.00000000347,0.013927107
